Factor,Condition,Trades,WinRate%,Exp(R),PF,Stable_Years%,Yearly_Breakdown,Pair,Strategy,Bootstrap_Mean(R),95%_CI_Lower(R),95%_CI_Upper(R),P(Exp>0)%,Is_Significant_95%
combined_regime,STRONG_BEAR__LOW_VOL,32,43.75,0.154,1.3,75.0,"{np.int64(2023): 0.372, np.int64(2024): 0.327, np.int64(2025): -0.153, np.int64(2026): 0.153}",EURUSD,VE_BO,0.143,-0.433,0.668,69.3,False
combined_regime,WEAK_BULL__NORMAL_VOL,26,50.0,0.323,1.97,50.0,"{np.int64(2023): -0.089, np.int64(2024): None, np.int64(2025): 0.528, np.int64(2026): None}",EURUSD,MS_BOS,0.321,-0.257,0.904,83.7,False
combined_regime,WEAK_BULL__LOW_VOL,36,55.56,0.256,1.68,100.0,"{np.int64(2023): 0.066, np.int64(2024): 0.984, np.int64(2025): 0.195, np.int64(2026): None}",EURUSD,MS_BOS,0.261,-0.207,0.732,85.5,False
trend_regime,WEAK_BULL,81,51.85,0.229,1.55,100.0,"{np.int64(2023): 0.022, np.int64(2024): 0.492, np.int64(2025): 0.284, np.int64(2026): 0.001}",EURUSD,MS_BOS,0.232,-0.075,0.544,93.1,False
combined_regime,STRONG_BULL__HIGH_VOL,58,50.0,0.193,1.25,75.0,"{np.int64(2023): 0.384, np.int64(2024): 0.236, np.int64(2025): 0.12, np.int64(2026): -0.212}",EURUSD,MS_BOS,0.199,-0.136,0.541,87.7,False
vol_regime,HIGH_VOL,45,48.89,0.24,1.51,100.0,"{np.int64(2023): 0.452, np.int64(2024): 0.135, np.int64(2025): 0.02, np.int64(2026): 0.57}",GBPUSD,TF_PB,0.241,-0.172,0.667,87.1,False
atr_bucket,80-100% (Highest),36,50.0,0.238,1.54,100.0,"{np.int64(2023): 0.207, np.int64(2024): 0.108, np.int64(2025): 0.228, np.int64(2026): 0.643}",GBPUSD,TF_PB,0.241,-0.202,0.702,85.2,False
combined_regime,STRONG_BULL__CONTRACTION,39,48.72,0.221,1.27,75.0,"{np.int64(2023): -0.32, np.int64(2024): 0.034, np.int64(2025): 0.504, np.int64(2026): 0.625}",GBPUSD,LDN_MO,0.217,-0.211,0.642,83.5,False
combined_regime,WEAK_BEAR__NORMAL_VOL,49,42.86,0.115,1.12,100.0,"{np.int64(2023): 0.035, np.int64(2024): 0.301, np.int64(2025): 0.038, np.int64(2026): 0.13}",USDJPY,TF_PB,0.116,-0.277,0.529,70.5,False
vol_regime,HIGH_VOL,43,39.53,0.098,1.35,50.0,"{np.int64(2023): 0.555, np.int64(2024): 0.017, np.int64(2025): -0.221, np.int64(2026): -0.048}",USDJPY,TF_PB,0.099,-0.319,0.534,67.1,False
