Pair,Strategy,IS_Trades,IS_Exp_R,IS_PF,OOS_Trades,OOS_WinRate%,OOS_Exp_R,OOS_PF,OOS_MaxDD%,MC_P95_DD%,Cost50%_OK,Status
EURUSD,TF_PB,175,-0.294,0.72,500,29.4,-0.366,0.64,85.1,95.2,False,REJECTED
EURUSD,VE_BO,212,-0.4,0.59,498,32.1,-0.248,0.72,73.1,94.0,False,REJECTED
EURUSD,MR_RG,31,-0.687,0.49,115,30.4,-0.593,0.51,49.4,70.0,False,REJECTED
EURUSD,LDN_MO,266,-0.341,0.58,591,37.1,-0.123,0.85,56.3,91.0,False,REJECTED
EURUSD,MS_BOS,576,-0.269,0.7,1483,35.1,-0.234,0.73,97.7,99.8,False,REJECTED
GBPUSD,TF_PB,176,-0.231,0.86,523,34.4,-0.272,0.74,77.3,92.2,False,REJECTED
GBPUSD,VE_BO,220,-0.235,0.79,496,30.2,-0.355,0.62,84.0,95.1,False,REJECTED
GBPUSD,MR_RG,38,-0.581,0.51,80,32.5,-0.57,0.39,39.0,61.0,False,REJECTED
GBPUSD,LDN_MO,257,-0.35,0.56,646,35.9,-0.212,0.74,76.6,95.2,False,REJECTED
GBPUSD,MS_BOS,598,-0.231,0.75,1570,33.2,-0.311,0.64,99.4,100.0,False,REJECTED
USDJPY,TF_PB,192,-0.11,0.91,474,32.3,-0.243,0.74,72.2,87.6,False,REJECTED
USDJPY,VE_BO,103,-0.178,0.88,219,33.8,-0.125,0.84,24.8,61.2,False,REJECTED
USDJPY,MR_RG,31,-0.698,0.21,80,30.0,-0.387,0.6,27.8,53.9,False,REJECTED
USDJPY,LDN_MO,160,-0.23,0.76,399,42.9,-0.02,1.04,24.2,64.9,False,REJECTED
USDJPY,MS_BOS,477,-0.159,0.88,1317,32.4,-0.236,0.73,96.2,99.3,False,REJECTED
