start_index,start_date,outcome_status,phase1_passed,both_phases_passed,is_breached,trades_processed,days_to_phase1,days_to_both_phases,trading_days_p1,trading_days_p2,max_drawdown_pct,ending_equity_usd
0,2023-01-20,COMPLETED_PASSED,True,True,False,66,720.0,973.0,46,16,2.6,10500.49
1,2023-01-27,COMPLETED_PASSED,True,True,False,65,766.0,965.0,49,12,2.64,10508.19
2,2023-02-07,COMPLETED_PASSED,True,True,False,64,755.0,954.0,48,12,2.61,10508.19
3,2023-02-09,COMPLETED_PASSED,True,True,False,80,727.0,1189.0,45,29,2.66,10515.9
4,2023-02-27,COMPLETED_PASSED,True,True,False,79,781.0,1171.0,49,24,2.7,10504.33
5,2023-03-16,RIGHT_CENSORED_IN_PHASE_2,True,False,False,86,829.0,,50,30,3.84,10441.56
6,2023-03-23,COMPLETED_PASSED,True,True,False,77,756.0,1146.0,47,24,2.71,10504.33
7,2023-05-01,COMPLETED_PASSED,True,True,False,59,672.0,872.0,43,12,2.68,10508.19
8,2023-05-23,COMPLETED_PASSED,True,True,False,62,659.0,938.0,43,14,2.65,10503.13
9,2023-06-14,COMPLETED_PASSED,True,True,False,61,637.0,916.0,42,14,2.7,10503.13
10,2023-06-22,RIGHT_CENSORED_IN_PHASE_2,True,False,False,81,732.0,,45,30,3.84,10441.56
11,2023-06-26,RIGHT_CENSORED_IN_PHASE_2,True,False,False,80,815.0,,51,23,3.92,10155.76
12,2023-07-04,RIGHT_CENSORED_IN_PHASE_2,True,False,False,79,727.0,,44,29,3.88,10391.26
13,2023-07-04,RIGHT_CENSORED_IN_PHASE_2,True,False,False,78,727.0,,44,29,3.88,10391.26
14,2023-07-07,RIGHT_CENSORED_IN_PHASE_2,True,False,False,77,724.0,,43,29,3.88,10391.26
15,2023-08-30,RIGHT_CENSORED_IN_PHASE_2,True,False,False,76,670.0,,42,29,3.88,10391.26
16,2023-09-25,RIGHT_CENSORED_IN_PHASE_2,True,False,False,75,637.0,,40,30,3.84,10441.56
17,2023-10-06,COMPLETED_PASSED,True,True,False,66,583.0,950.0,38,23,2.6,10505.36
18,2023-10-11,RIGHT_CENSORED_IN_PHASE_2,True,False,False,73,656.0,,41,27,3.89,10351.76
19,2023-11-14,RIGHT_CENSORED_IN_PHASE_2,True,False,False,72,587.0,,37,30,3.84,10441.56
20,2023-11-27,RIGHT_CENSORED_IN_PHASE_2,True,False,False,71,574.0,,36,30,3.84,10441.56
21,2023-12-08,RIGHT_CENSORED_IN_PHASE_2,True,False,False,70,563.0,,35,30,3.84,10441.56
22,2023-12-18,RIGHT_CENSORED_IN_PHASE_2,True,False,False,69,552.0,,34,30,3.84,10441.56
23,2023-12-27,RIGHT_CENSORED_IN_PHASE_2,True,False,False,68,552.0,,34,29,3.88,10391.26
24,2024-02-02,RIGHT_CENSORED_IN_PHASE_2,True,False,False,67,507.0,,32,30,3.84,10441.56
25,2024-02-05,RIGHT_CENSORED_IN_PHASE_2,True,False,False,66,503.0,,31,30,3.84,10441.56
26,2024-02-14,COMPLETED_PASSED,True,True,False,57,452.0,819.0,29,23,2.03,10505.36
27,2024-03-04,RIGHT_CENSORED_IN_PHASE_2,True,False,False,64,564.0,,36,23,3.92,10155.76
28,2024-03-07,RIGHT_CENSORED_IN_PHASE_2,True,False,False,63,472.0,,28,30,3.84,10441.56
29,2024-03-13,RIGHT_CENSORED_IN_PHASE_2,True,False,False,62,554.0,,34,23,3.92,10155.76
30,2024-04-04,RIGHT_CENSORED_IN_PHASE_2,True,False,False,61,445.0,,26,30,3.84,10441.56
31,2024-04-10,COMPLETED_PASSED,True,True,False,52,397.0,763.0,24,23,2.02,10505.36
32,2024-04-18,RIGHT_CENSORED_IN_PHASE_2,True,False,False,59,431.0,,24,30,3.84,10441.56
33,2024-05-14,RIGHT_CENSORED_IN_PHASE_2,True,False,False,58,581.0,,33,20,3.93,10110.82
34,2024-06-07,RIGHT_CENSORED_IN_PHASE_2,True,False,False,57,657.0,,41,11,2.09,10442.4
35,2024-06-17,RIGHT_CENSORED_IN_PHASE_2,True,False,False,56,459.0,,28,23,3.92,10155.76
36,2024-07-08,RIGHT_CENSORED_IN_PHASE_2,True,False,False,55,357.0,,21,29,3.88,10391.26
37,2024-09-05,RIGHT_CENSORED_IN_PHASE_2,True,False,False,54,299.0,,20,29,3.88,10391.26
38,2024-09-05,RIGHT_CENSORED_IN_PHASE_2,True,False,False,53,298.0,,20,29,3.88,10391.26
39,2024-09-05,RIGHT_CENSORED_IN_PHASE_2,True,False,False,52,298.0,,20,29,3.88,10391.26
40,2024-09-06,RIGHT_CENSORED_IN_PHASE_2,True,False,False,51,377.0,,25,23,3.92,10155.76
41,2024-10-01,RIGHT_CENSORED_IN_PHASE_2,True,False,False,50,441.0,,27,20,3.93,10110.82
42,2024-10-01,RIGHT_CENSORED_IN_PHASE_2,True,False,False,49,441.0,,27,20,3.93,10110.82
43,2024-10-09,RIGHT_CENSORED_IN_PHASE_2,True,False,False,48,344.0,,23,23,3.92,10155.76
44,2024-10-16,RIGHT_CENSORED_IN_PHASE_2,True,False,False,47,574.0,,37,8,2.68,10112.73
45,2024-10-25,RIGHT_CENSORED_IN_PHASE_2,True,False,False,46,417.0,,24,20,3.93,10110.82
46,2024-10-31,RIGHT_CENSORED_IN_PHASE_2,True,False,False,45,322.0,,20,23,3.92,10155.76
47,2024-12-05,RIGHT_CENSORED_IN_PHASE_2,True,False,False,44,524.0,,34,8,2.68,10112.73
48,2024-12-06,RIGHT_CENSORED_IN_PHASE_2,True,False,False,43,550.0,,37,4,2.85,9820.16
49,2025-01-09,RIGHT_CENSORED_IN_PHASE_2,True,False,False,42,488.0,,31,9,1.84,10463.75
50,2025-01-14,RIGHT_CENSORED_IN_PHASE_1,False,False,False,41,,,39,0,3.66,10954.53
51,2025-02-05,RIGHT_CENSORED_IN_PHASE_2,True,False,False,40,462.0,,30,8,2.68,10112.73
52,2025-02-18,RIGHT_CENSORED_IN_PHASE_1,False,False,False,39,,,37,0,3.67,10921.63
53,2025-03-04,RIGHT_CENSORED_IN_PHASE_2,True,False,False,38,462.0,,32,4,2.85,9820.16
54,2025-03-13,RIGHT_CENSORED_IN_PHASE_1,False,False,False,37,,,35,0,3.68,10964.26
55,2025-04-15,RIGHT_CENSORED_IN_PHASE_1,False,False,False,36,,,34,0,3.73,10845.57
56,2025-04-18,RIGHT_CENSORED_IN_PHASE_1,False,False,False,35,,,33,0,3.7,10853.63
57,2025-05-12,RIGHT_CENSORED_IN_PHASE_1,False,False,False,34,,,32,0,3.74,10664.1
