policy_name,base_risk_pct,dollar_risk_per_trade_usd,prob_complete_both_mc_pct,prob_both_180d_mc_pct,prob_both_365d_mc_pct,median_days_both_mc,prob_max_loss_breach_mc_pct,prob_daily_loss_breach_mc_pct,expected_max_drawdown_pct,prob_funded_survive_365d_pct,expected_gross_monthly_return_usd,expected_gross_monthly_payout_usd,net_monthly_income_after_vps_usd,net_annual_income_after_vps_usd,net_annual_return_pct_on_10k,months_to_breakeven_challenge_fee,recommendation_score
POLICY_A_CONSTANT,0.1,10.0,41.2,0.0,0.0,2433.8,0.0,0.0,1.22,100.0,10.33,8.27,-7.73,-92.8,-0.93,999.0,4.61
POLICY_A_CONSTANT,0.2,20.0,98.9,0.0,0.0,1423.1,0.0,0.0,2.08,100.0,21.87,17.5,1.5,17.99,0.18,113.4,22.36
POLICY_A_CONSTANT,0.25,25.0,99.7,0.0,0.0,1141.2,0.0,0.0,2.46,100.0,26.13,20.9,4.9,58.85,0.59,34.7,23.67
POLICY_A_CONSTANT,0.35,34.99999999999999,99.8,0.0,1.5,804.4,0.0,0.0,3.08,100.0,36.43,29.14,13.14,157.72,1.58,12.9,26.89
POLICY_A_CONSTANT,0.5,50.0,98.6,0.2,16.6,550.0,0.0,0.0,3.92,100.0,54.6,43.68,27.68,332.11,3.32,6.1,32.64
POLICY_A_CONSTANT,0.6,60.0,96.7,1.6,33.1,446.9,0.2,0.0,4.36,99.9,66.82,53.45,37.45,449.43,4.49,4.5,36.57
POLICY_A_CONSTANT,0.75,75.0,92.7,9.1,51.5,343.8,0.5,0.0,4.95,99.8,80.01,64.01,48.01,576.1,5.76,3.5,41.94
POLICY_A_CONSTANT,1.0,100.0,84.5,25.0,67.9,240.6,1.6,0.0,5.73,99.0,114.65,91.72,75.72,908.63,9.09,2.2,55.88
POLICY_B_DRAWDOWN_DERISKING,0.5,50.0,99.8,0.3,16.2,584.4,0.0,0.0,3.58,100.0,52.28,41.82,25.82,309.9,3.1,6.6,32.6
POLICY_B_DRAWDOWN_DERISKING,0.75,75.0,99.8,8.9,42.9,419.4,0.0,0.0,4.34,100.0,78.63,62.91,46.91,562.88,5.63,3.6,45.0
POLICY_C_TARGET_PROTECTION,0.5,50.0,98.6,0.0,6.9,632.5,0.0,0.0,3.8,100.0,51.89,41.51,25.51,306.13,3.06,6.7,31.62
POLICY_C_TARGET_PROTECTION,0.75,75.0,93.0,1.3,33.5,426.2,0.5,0.0,4.76,99.8,84.4,67.52,51.52,618.29,6.18,3.3,41.41
POLICY_D_DRAWDOWN_BUDGET,0.5,50.0,99.9,0.2,16.6,556.9,0.0,0.0,3.85,100.0,52.75,42.2,26.2,314.42,3.14,6.5,32.38
POLICY_D_DRAWDOWN_BUDGET,0.75,75.0,99.9,8.0,43.9,405.6,0.0,0.0,4.47,100.0,78.63,62.9,46.9,562.85,5.63,3.6,44.5
POLICY_E_CHALLENGE_AWARE,0.5,50.0,99.8,0.0,6.7,666.9,0.0,0.0,3.47,100.0,51.57,41.26,25.26,303.09,3.03,6.7,32.36
POLICY_E_CHALLENGE_AWARE,0.75,75.0,99.9,1.1,27.7,501.9,0.0,0.0,4.1,100.0,77.06,61.65,45.65,547.81,5.48,3.7,42.06
POLICY_E_STRESS_125PCT_COST,0.75,75.0,99.5,0.9,21.5,570.6,0.0,0.0,4.39,100.0,69.28,55.42,39.42,473.1,4.73,4.3,38.34
POLICY_E_STRESS_150PCT_COST,0.75,75.0,98.8,0.5,17.0,646.2,0.0,0.0,4.69,100.0,62.01,49.61,33.61,403.27,4.03,5.1,34.64
POLICY_E_STRESS_200PCT_COST,0.75,75.0,89.6,0.1,9.1,838.8,0.0,0.0,5.48,100.0,46.53,37.22,21.22,254.68,2.55,8.0,24.83
