Pair,Strategy,Version,Trades,WinRate%,Exp(R),95%_CI_Lower(R),95%_CI_Upper(R),P(Exp>0)%,ProfitFactor,MaxDD%,AvgHoldingBars
EURUSD,TF_PB,BASELINE_V1 (FROZEN),679,29.75,-0.348,-0.449,-0.242,0.0,0.66,91.16,6.6
EURUSD,VE_BO,BASELINE_V1 (FROZEN),711,30.38,-0.29,-0.397,-0.181,0.0,0.68,88.13,6.0
EURUSD,MR_RG,BASELINE_V1 (FROZEN),147,29.25,-0.619,-0.838,-0.389,0.0,0.5,61.49,3.8
EURUSD,LDN_MO,BASELINE_V1 (FROZEN),859,34.34,-0.189,-0.276,-0.099,0.0,0.76,82.25,12.4
EURUSD,MS_BOS,BASELINE_V1 (FROZEN),2063,34.56,-0.243,-0.301,-0.186,0.0,0.72,99.49,10.2
GBPUSD,TF_PB,BASELINE_V1 (FROZEN),699,34.62,-0.262,-0.364,-0.156,0.0,0.77,85.96,6.7
GBPUSD,VE_BO,BASELINE_V1 (FROZEN),717,30.68,-0.32,-0.428,-0.21,0.0,0.68,91.2,5.9
GBPUSD,MR_RG,BASELINE_V1 (FROZEN),118,32.2,-0.574,-0.816,-0.327,0.0,0.43,50.52,4.4
GBPUSD,LDN_MO,BASELINE_V1 (FROZEN),906,33.89,-0.251,-0.336,-0.164,0.0,0.68,90.81,11.9
GBPUSD,MS_BOS,BASELINE_V1 (FROZEN),2171,33.67,-0.286,-0.342,-0.23,0.0,0.67,99.84,10.0
USDJPY,TF_PB,BASELINE_V1 (FROZEN),667,33.13,-0.206,-0.311,-0.1,0.0,0.79,79.43,9.2
USDJPY,VE_BO,BASELINE_V1 (FROZEN),323,33.44,-0.135,-0.294,0.034,5.6,0.86,40.41,6.9
USDJPY,MR_RG,BASELINE_V1 (FROZEN),111,27.03,-0.474,-0.716,-0.217,0.0,0.47,42.14,4.9
USDJPY,LDN_MO,BASELINE_V1 (FROZEN),561,40.29,-0.081,-0.186,0.019,5.5,0.95,52.65,17.6
USDJPY,MS_BOS,BASELINE_V1 (FROZEN),1795,33.37,-0.215,-0.277,-0.154,0.0,0.77,98.34,11.5
