Pair,Strategy,Total_Trades,Winner_MAE_Median(R),Winner_MFE_Median(R),Loser_MAE_Median(R),Loser_MFE_Median(R),Duration_Winners_Bars,Duration_Losers_Bars
EURUSD,TF_PB,679,0.41,2.21,1.32,0.4,8.7,5.8
EURUSD,VE_BO,711,0.49,2.42,1.35,0.41,8.3,5.0
EURUSD,MR_RG,147,0.54,2.33,1.45,0.23,5.0,3.2
EURUSD,LDN_MO,859,0.45,2.1,1.22,0.42,15.9,10.6
EURUSD,MS_BOS,2063,0.47,2.12,1.27,0.4,13.9,8.2
GBPUSD,TF_PB,699,0.51,2.16,1.4,0.34,8.6,5.7
GBPUSD,VE_BO,717,0.56,2.37,1.4,0.33,8.2,4.8
GBPUSD,MR_RG,118,0.65,2.14,1.45,0.34,5.2,4.0
GBPUSD,LDN_MO,906,0.48,2.06,1.27,0.38,15.9,9.9
GBPUSD,MS_BOS,2171,0.47,2.09,1.29,0.39,13.8,8.0
USDJPY,TF_PB,667,0.49,2.2,1.3,0.4,12.2,7.8
USDJPY,VE_BO,323,0.54,2.41,1.33,0.47,9.4,5.6
USDJPY,MR_RG,111,0.49,2.26,1.47,0.47,6.1,4.5
USDJPY,LDN_MO,561,0.45,1.92,1.16,0.44,22.5,14.3
USDJPY,MS_BOS,1795,0.48,2.12,1.25,0.42,15.1,9.8
