Pair,Strategy,Exit_Model,Trades,WinRate%,Exp(R),PF,NetPips,MaxDD%,AvgDurationBars
EURUSD,TF_PB,A_Fixed_0.75R,738,50.0,-0.325,0.54,-1886.36,91.35,3.6
EURUSD,TF_PB,B_Fixed_1.00R,718,42.34,-0.361,0.54,-2157.23,93.24,4.5
EURUSD,TF_PB,C_Fixed_1.25R,703,39.26,-0.327,0.61,-1857.54,90.64,5.0
EURUSD,TF_PB,D_Fixed_1.50R,694,35.59,-0.324,0.65,-1750.99,90.07,5.7
EURUSD,TF_PB,E_Fixed_2.00R,675,28.44,-0.37,0.65,-1901.72,92.3,6.9
EURUSD,TF_PB,F_Partial_1R_Trail,715,43.92,-0.385,0.5,-2251.52,93.92,5.3
EURUSD,TF_PB,G_ATR_Trailing_1.5x,785,20.89,-0.44,0.31,-2850.27,96.91,3.4
EURUSD,TF_PB,H_Structural_Trailing,664,22.59,-0.403,0.61,-2026.31,93.54,7.7
EURUSD,TF_PB,I_Time_Exit_16_Bars,664,25.75,-0.4,0.61,-2001.64,93.51,7.1
EURUSD,TF_PB,J_BreakEven_At_0.75R,733,6.55,-0.517,0.28,-3082.86,97.81,4.6
EURUSD,VE_BO,A_Fixed_0.75R,865,52.02,-0.304,0.52,-1977.99,93.03,2.9
EURUSD,VE_BO,B_Fixed_1.00R,814,46.19,-0.295,0.58,-1853.61,91.44,3.5
EURUSD,VE_BO,C_Fixed_1.25R,773,41.14,-0.298,0.61,-1776.81,90.66,4.1
EURUSD,VE_BO,D_Fixed_1.50R,745,37.45,-0.291,0.64,-1675.68,89.26,4.6
EURUSD,VE_BO,E_Fixed_2.00R,717,30.96,-0.303,0.66,-1670.44,89.35,5.9
EURUSD,VE_BO,F_Partial_1R_Trail,778,47.17,-0.345,0.49,-2083.84,93.56,4.2
EURUSD,VE_BO,G_ATR_Trailing_1.5x,777,21.62,-0.485,0.3,-2934.24,97.76,3.5
EURUSD,VE_BO,H_Structural_Trailing,702,28.35,-0.233,0.75,-1231.53,83.32,6.7
EURUSD,VE_BO,I_Time_Exit_16_Bars,703,29.16,-0.262,0.71,-1426.44,85.83,6.3
