Pair,Strategy,Trades,Median_MFE(R),P75_MFE(R),Median_MAE(R),Bars_to_MFE,Bars_to_MAE,Stopped_Trades,Stopped_After_+0.5R%,Stopped_After_+0.75R%,Stopped_After_+1.0R%
EURUSD,TF_PB,679,0.79,2.0,1.2,1.0,2.0,474,42.8,30.0,19.4
EURUSD,VE_BO,711,0.87,2.2,1.21,1.0,1.0,489,44.6,33.1,23.5
EURUSD,MR_RG,147,0.65,1.73,1.3,0.0,1.0,103,35.9,24.3,14.6
EURUSD,LDN_MO,859,0.83,1.99,1.1,4.0,5.0,520,40.0,24.4,15.8
EURUSD,MS_BOS,2063,0.87,1.99,1.13,2.0,2.0,1271,41.7,28.6,19.0
GBPUSD,TF_PB,699,0.88,2.02,1.2,1.0,2.0,453,42.6,29.1,19.6
GBPUSD,VE_BO,717,0.86,2.18,1.24,1.0,1.0,492,41.5,31.3,22.8
GBPUSD,MR_RG,118,0.75,1.89,1.3,1.0,1.0,80,40.0,26.2,21.2
GBPUSD,LDN_MO,906,0.8,1.95,1.13,4.0,5.0,574,39.9,27.9,19.0
GBPUSD,MS_BOS,2171,0.83,1.94,1.16,2.0,2.0,1359,41.3,27.1,18.4
USDJPY,TF_PB,667,0.87,2.05,1.14,2.0,3.0,438,44.7,31.3,20.8
USDJPY,VE_BO,323,1.01,2.23,1.16,1.0,2.0,215,47.4,31.6,25.6
USDJPY,MR_RG,111,0.87,1.94,1.32,1.0,1.0,81,45.7,37.0,27.2
USDJPY,LDN_MO,561,0.85,1.65,1.05,7.0,8.0,293,41.6,27.3,16.7
USDJPY,MS_BOS,1795,0.86,1.99,1.12,3.0,3.0,1124,43.1,30.9,20.5
