Pair,Strategy,Factor,Condition,Trades,WinRate%,Exp(R),PF,95%_CI_Lower,95%_CI_Upper,P(Exp>0)%,Stability_2023_2025%,MaxDD%
GBPUSD,TF_PB,trend_transition,RANGE_TO_TREND,40,55.0,0.362,1.68,-0.102,0.827,92.8,66.7,3.34
EURUSD,TF_PB,trend_transition,RANGE_TO_TREND,51,52.94,0.346,1.79,-0.076,0.749,94.2,100.0,6.38
GBPUSD,TF_PB,pre_session_bias,BEARISH_DRIFT,78,50.0,0.251,1.62,-0.072,0.586,93.7,66.7,7.81
EURUSD,TF_PB,pre_session_bias,BULLISH_DRIFT,53,47.17,0.238,1.32,-0.158,0.633,88.3,100.0,5.3
EURUSD,LDN_MO,pre_session_bias,BEARISH_DRIFT,147,46.26,0.17,1.14,-0.051,0.396,93.4,33.3,10.37
USDJPY,LDN_MO,trend_transition,WEAK_TO_STRONG_TREND,82,48.78,0.163,1.4,-0.114,0.447,87.8,100.0,8.07
EURUSD,LDN_MO,pre_session_bias,BULLISH_DRIFT,127,44.88,0.123,1.14,-0.108,0.355,85.6,66.7,10.81
EURUSD,VE_BO,pre_session_bias,BULLISH_DRIFT,146,41.78,0.119,1.06,-0.13,0.374,82.5,66.7,12.61
USDJPY,MS_BOS,volatility_transition,LOW_TO_HIGH_VOL,86,44.19,0.118,1.44,-0.171,0.411,78.9,100.0,7.26
EURUSD,LDN_MO,volatility_transition,COMPRESSION_TO_EXPANSION,79,44.3,0.111,1.36,-0.203,0.433,76.1,100.0,8.51
USDJPY,MS_BOS,volatility_transition,HIGH_TO_HIGH_VOL,123,43.09,0.111,1.29,-0.119,0.355,83.0,100.0,9.09
USDJPY,LDN_MO,pre_session_bias,BULLISH_DRIFT,213,48.83,0.11,1.31,-0.056,0.278,89.9,100.0,8.75
EURUSD,VE_BO,pre_session_bias,BEARISH_DRIFT,176,42.05,0.108,1.1,-0.111,0.338,81.8,66.7,18.3
GBPUSD,LDN_MO,trend_transition,WEAK_TO_STRONG_TREND,123,46.34,0.071,1.15,-0.169,0.327,70.6,100.0,8.94
EURUSD,TF_PB,pre_session_bias,BEARISH_DRIFT,52,40.38,0.07,0.95,-0.333,0.474,62.9,66.7,12.67
USDJPY,TF_PB,trend_transition,WEAK_TO_STRONG_TREND,128,41.41,0.061,1.19,-0.188,0.323,68.3,66.7,11.71
