Target_R,Trades,WinRate%,Exp(R),PF,NetPips,MaxDD%,AvgHoldingBars,Pair,Strategy
0.4,813,61.25,-0.297,0.35,-1993.41,91.17,2.3,EURUSD,TF_PB
0.6,768,57.55,-0.315,0.46,-1974.02,91.26,3.0,EURUSD,TF_PB
0.75,746,51.88,-0.331,0.52,-1926.81,91.77,3.4,EURUSD,TF_PB
1.0,725,44.69,-0.345,0.54,-2079.91,92.5,4.3,EURUSD,TF_PB
1.25,708,40.11,-0.337,0.59,-1944.05,91.35,4.8,EURUSD,TF_PB
1.5,694,36.46,-0.328,0.64,-1775.67,90.32,5.5,EURUSD,TF_PB
1.75,690,33.04,-0.331,0.65,-1793.11,90.45,6.1,EURUSD,TF_PB
2.0,679,29.75,-0.348,0.66,-1777.64,91.16,6.6,EURUSD,TF_PB
2.25,666,27.18,-0.373,0.65,-1877.46,92.27,7.4,EURUSD,TF_PB
2.5,660,24.55,-0.411,0.62,-2102.12,93.86,8.1,EURUSD,TF_PB
3.0,656,21.65,-0.443,0.6,-2265.21,95.02,8.9,EURUSD,TF_PB
0.4,926,63.71,-0.312,0.28,-2203.84,94.53,1.8,EURUSD,VE_BO
0.6,905,58.9,-0.311,0.42,-2166.63,94.15,2.3,EURUSD,VE_BO
0.75,883,54.13,-0.309,0.49,-2074.23,93.7,2.7,EURUSD,VE_BO
1.0,830,47.47,-0.31,0.55,-1998.19,92.68,3.3,EURUSD,VE_BO
1.25,788,42.39,-0.306,0.59,-1848.68,91.59,3.8,EURUSD,VE_BO
1.5,755,39.21,-0.28,0.65,-1589.6,88.6,4.5,EURUSD,VE_BO
1.75,727,35.21,-0.288,0.66,-1597.03,88.54,5.1,EURUSD,VE_BO
2.0,721,32.59,-0.285,0.67,-1565.75,87.97,5.7,EURUSD,VE_BO
2.25,710,30.0,-0.287,0.69,-1540.32,87.92,6.2,EURUSD,VE_BO
2.5,704,28.98,-0.255,0.72,-1353.22,85.42,6.6,EURUSD,VE_BO
3.0,695,26.91,-0.241,0.75,-1222.01,84.97,7.4,EURUSD,VE_BO
0.4,152,21.71,-0.696,0.07,-405.8,65.65,1.4,EURUSD,MR_RG
0.6,149,38.26,-0.64,0.19,-350.03,62.13,1.6,EURUSD,MR_RG
0.75,148,45.27,-0.636,0.26,-352.59,61.86,2.1,EURUSD,MR_RG
1.0,147,40.82,-0.67,0.31,-380.94,63.26,2.6,EURUSD,MR_RG
1.25,147,36.73,-0.655,0.37,-367.29,62.58,3.0,EURUSD,MR_RG
1.5,147,31.97,-0.682,0.4,-376.18,64.2,3.3,EURUSD,MR_RG
1.75,147,30.61,-0.643,0.46,-344.85,62.34,3.6,EURUSD,MR_RG
2.0,147,27.89,-0.649,0.48,-343.49,63.04,3.8,EURUSD,MR_RG
2.25,147,25.85,-0.646,0.49,-347.18,63.19,3.9,EURUSD,MR_RG
2.5,147,25.85,-0.587,0.56,-303.99,60.19,4.1,EURUSD,MR_RG
3.0,147,21.77,-0.631,0.53,-338.71,63.33,4.6,EURUSD,MR_RG
0.4,982,69.76,-0.193,0.48,-2220.46,85.22,4.1,EURUSD,LDN_MO
0.6,925,59.89,-0.208,0.57,-2282.01,85.87,5.7,EURUSD,LDN_MO
0.75,901,54.16,-0.218,0.59,-2383.81,86.48,6.8,EURUSD,LDN_MO
1.0,887,47.46,-0.217,0.65,-2259.3,86.06,8.2,EURUSD,LDN_MO
1.25,872,43.46,-0.193,0.71,-1969.72,82.54,9.5,EURUSD,LDN_MO
1.5,861,39.02,-0.203,0.72,-1981.45,83.86,10.7,EURUSD,LDN_MO
1.75,859,36.32,-0.196,0.75,-1876.19,83.16,11.6,EURUSD,LDN_MO
2.0,859,34.34,-0.189,0.76,-1817.86,82.25,12.4,EURUSD,LDN_MO
2.25,858,32.52,-0.187,0.77,-1778.45,82.08,13.1,EURUSD,LDN_MO
2.5,857,31.97,-0.168,0.79,-1591.31,78.63,13.6,EURUSD,LDN_MO
3.0,856,30.14,-0.187,0.79,-1673.43,82.11,14.7,EURUSD,LDN_MO
0.4,3287,63.64,-0.251,0.42,-7564.01,99.98,3.2,EURUSD,MS_BOS
0.6,2969,60.46,-0.236,0.56,-6416.6,99.92,4.3,EURUSD,MS_BOS
0.75,2779,54.55,-0.25,0.58,-6455.75,99.92,5.0,EURUSD,MS_BOS
1.0,2525,47.84,-0.251,0.63,-5883.95,99.85,6.3,EURUSD,MS_BOS
1.25,2353,43.09,-0.247,0.67,-5272.53,99.74,7.5,EURUSD,MS_BOS
1.5,2235,39.87,-0.234,0.71,-4594.66,99.55,8.5,EURUSD,MS_BOS
1.75,2130,36.53,-0.247,0.71,-4733.23,99.58,9.5,EURUSD,MS_BOS
2.0,2063,34.56,-0.243,0.72,-4480.23,99.49,10.2,EURUSD,MS_BOS
2.25,1998,32.88,-0.238,0.74,-4134.77,99.37,11.0,EURUSD,MS_BOS
2.5,1960,31.68,-0.232,0.74,-4117.36,99.21,11.6,EURUSD,MS_BOS
3.0,1882,29.65,-0.232,0.74,-4001.3,99.13,12.4,EURUSD,MS_BOS
0.4,815,55.83,-0.327,0.3,-2564.88,93.22,2.2,GBPUSD,TF_PB
0.6,783,60.03,-0.292,0.5,-2082.64,90.21,2.8,GBPUSD,TF_PB
0.75,761,56.37,-0.299,0.55,-2119.53,90.16,3.3,GBPUSD,TF_PB
1.0,742,48.92,-0.308,0.61,-2073.62,90.56,4.1,GBPUSD,TF_PB
1.25,725,43.59,-0.305,0.67,-1890.21,89.75,4.7,GBPUSD,TF_PB
1.5,714,39.5,-0.301,0.68,-1979.15,89.22,5.4,GBPUSD,TF_PB
1.75,707,36.49,-0.286,0.73,-1701.38,88.09,6.0,GBPUSD,TF_PB
2.0,699,34.62,-0.262,0.77,-1464.42,85.96,6.7,GBPUSD,TF_PB
2.25,692,31.36,-0.296,0.72,-1843.72,88.69,7.4,GBPUSD,TF_PB
2.5,686,28.86,-0.317,0.71,-1962.84,89.78,8.0,GBPUSD,TF_PB
3.0,671,25.48,-0.341,0.71,-1980.95,91.0,9.0,GBPUSD,TF_PB
0.4,922,57.38,-0.365,0.22,-3266.92,96.69,1.9,GBPUSD,VE_BO
0.6,904,59.29,-0.337,0.4,-2937.35,95.47,2.3,GBPUSD,VE_BO
0.75,876,55.48,-0.318,0.49,-2639.71,94.27,2.6,GBPUSD,VE_BO
1.0,828,47.71,-0.336,0.53,-2688.0,94.3,3.3,GBPUSD,VE_BO
1.25,797,42.16,-0.342,0.56,-2681.5,94.05,3.9,GBPUSD,VE_BO
1.5,769,38.36,-0.334,0.61,-2420.16,93.16,4.4,GBPUSD,VE_BO
1.75,745,34.36,-0.353,0.63,-2375.87,93.64,5.0,GBPUSD,VE_BO
2.0,726,31.4,-0.357,0.64,-2342.45,93.39,5.6,GBPUSD,VE_BO
2.25,714,30.11,-0.323,0.68,-2079.83,91.33,6.0,GBPUSD,VE_BO
2.5,701,27.67,-0.343,0.67,-2158.36,92.65,6.5,GBPUSD,VE_BO
3.0,696,23.28,-0.411,0.62,-2629.65,95.15,7.3,GBPUSD,VE_BO
0.4,125,24.0,-0.48,0.09,-344.19,45.39,1.5,GBPUSD,MR_RG
0.6,121,42.15,-0.524,0.18,-369.75,47.64,2.0,GBPUSD,MR_RG
0.75,119,52.94,-0.52,0.24,-378.36,46.84,2.3,GBPUSD,MR_RG
1.0,119,47.9,-0.548,0.32,-403.78,49.2,2.8,GBPUSD,MR_RG
1.25,118,41.53,-0.571,0.35,-431.58,51.35,3.3,GBPUSD,MR_RG
1.5,118,36.44,-0.594,0.39,-431.9,50.87,3.7,GBPUSD,MR_RG
1.75,118,34.75,-0.55,0.45,-399.95,49.09,4.0,GBPUSD,MR_RG
2.0,118,33.05,-0.514,0.51,-365.16,48.0,4.3,GBPUSD,MR_RG
2.25,118,32.2,-0.459,0.55,-336.56,45.66,4.7,GBPUSD,MR_RG
2.5,118,27.97,-0.532,0.53,-372.9,48.92,5.0,GBPUSD,MR_RG
3.0,118,23.73,-0.569,0.52,-395.52,49.07,5.4,GBPUSD,MR_RG
0.4,1037,68.08,-0.236,0.41,-3587.98,91.59,3.9,GBPUSD,LDN_MO
0.6,976,59.63,-0.243,0.51,-3597.19,91.06,5.5,GBPUSD,LDN_MO
0.75,959,55.27,-0.23,0.57,-3447.76,89.34,6.5,GBPUSD,LDN_MO
1.0,930,48.06,-0.24,0.61,-3420.22,89.78,7.7,GBPUSD,LDN_MO
1.25,918,43.03,-0.24,0.64,-3411.89,89.59,9.0,GBPUSD,LDN_MO
1.5,911,39.08,-0.249,0.66,-3373.36,90.4,10.2,GBPUSD,LDN_MO
1.75,908,36.45,-0.239,0.68,-3248.33,89.59,11.1,GBPUSD,LDN_MO
2.0,906,33.89,-0.251,0.68,-3380.67,90.81,11.9,GBPUSD,LDN_MO
2.25,905,32.38,-0.254,0.69,-3363.84,91.04,12.6,GBPUSD,LDN_MO
2.5,904,31.64,-0.242,0.7,-3244.87,90.1,13.2,GBPUSD,LDN_MO
3.0,904,30.64,-0.232,0.71,-3176.99,89.55,14.0,GBPUSD,LDN_MO
0.4,3503,62.06,-0.279,0.37,-11141.13,99.99,2.9,GBPUSD,MS_BOS
0.6,3160,59.59,-0.274,0.5,-10038.23,99.98,4.0,GBPUSD,MS_BOS
0.75,2939,54.2,-0.288,0.54,-9900.53,99.98,4.7,GBPUSD,MS_BOS
1.0,2678,47.8,-0.281,0.6,-8800.56,99.95,6.0,GBPUSD,MS_BOS
1.25,2468,42.91,-0.276,0.64,-7954.34,99.91,7.2,GBPUSD,MS_BOS
1.5,2349,38.87,-0.28,0.65,-7755.42,99.89,8.2,GBPUSD,MS_BOS
1.75,2249,35.7,-0.287,0.67,-7374.16,99.88,9.2,GBPUSD,MS_BOS
2.0,2171,33.67,-0.286,0.67,-7195.72,99.84,10.0,GBPUSD,MS_BOS
2.25,2102,32.06,-0.28,0.69,-6624.95,99.78,10.6,GBPUSD,MS_BOS
2.5,2041,30.43,-0.292,0.68,-6818.94,99.8,11.3,GBPUSD,MS_BOS
3.0,1968,28.46,-0.287,0.69,-6493.57,99.73,12.3,GBPUSD,MS_BOS
0.4,809,65.14,-0.234,0.47,-2476.95,85.63,3.0,USDJPY,TF_PB
0.6,746,59.65,-0.215,0.61,-2084.43,80.78,4.1,USDJPY,TF_PB
0.75,719,54.94,-0.218,0.65,-2085.55,80.72,4.9,USDJPY,TF_PB
1.0,697,47.78,-0.224,0.69,-2104.15,81.13,6.0,USDJPY,TF_PB
1.25,684,42.54,-0.223,0.72,-1986.14,80.93,7.1,USDJPY,TF_PB
1.5,676,38.17,-0.233,0.73,-2068.68,82.76,7.9,USDJPY,TF_PB
1.75,670,34.93,-0.23,0.75,-1986.05,82.26,8.6,USDJPY,TF_PB
2.0,667,33.13,-0.206,0.79,-1704.63,79.43,9.2,USDJPY,TF_PB
2.25,658,31.0,-0.209,0.8,-1673.7,78.89,9.8,USDJPY,TF_PB
2.5,656,29.88,-0.184,0.83,-1387.22,75.98,10.4,USDJPY,TF_PB
3.0,645,26.67,-0.201,0.81,-1572.21,77.52,11.3,USDJPY,TF_PB
0.4,407,67.32,-0.215,0.47,-1223.43,58.94,2.0,USDJPY,VE_BO
0.6,394,62.18,-0.179,0.63,-976.33,52.41,2.7,USDJPY,VE_BO
0.75,386,56.99,-0.177,0.66,-1024.68,50.66,3.2,USDJPY,VE_BO
1.0,370,50.0,-0.174,0.71,-978.31,48.1,4.0,USDJPY,VE_BO
1.25,352,45.45,-0.152,0.79,-706.74,42.07,4.7,USDJPY,VE_BO
1.5,343,40.82,-0.154,0.81,-700.98,43.86,5.4,USDJPY,VE_BO
1.75,335,37.01,-0.162,0.8,-732.88,45.17,5.9,USDJPY,VE_BO
2.0,329,35.26,-0.133,0.85,-548.01,39.94,6.3,USDJPY,VE_BO
2.25,322,32.92,-0.142,0.85,-563.44,42.31,7.0,USDJPY,VE_BO
2.5,321,32.09,-0.122,0.87,-507.86,38.02,7.6,USDJPY,VE_BO
3.0,317,29.02,-0.133,0.84,-617.3,40.23,8.6,USDJPY,VE_BO
0.4,114,51.75,-0.377,0.28,-341.08,35.97,1.7,USDJPY,MR_RG
0.6,113,48.67,-0.436,0.34,-409.8,40.51,2.4,USDJPY,MR_RG
0.75,113,49.56,-0.417,0.41,-400.97,39.77,2.7,USDJPY,MR_RG
1.0,113,45.13,-0.397,0.46,-406.09,38.15,3.1,USDJPY,MR_RG
1.25,112,41.07,-0.381,0.52,-380.75,36.66,3.6,USDJPY,MR_RG
1.5,111,38.74,-0.339,0.58,-345.09,33.97,3.8,USDJPY,MR_RG
1.75,111,33.33,-0.394,0.52,-432.7,37.33,4.2,USDJPY,MR_RG
2.0,111,28.83,-0.451,0.49,-490.04,40.49,4.6,USDJPY,MR_RG
2.25,111,22.52,-0.572,0.39,-617.63,48.29,5.3,USDJPY,MR_RG
2.5,111,19.82,-0.615,0.37,-661.8,50.7,5.7,USDJPY,MR_RG
3.0,111,18.02,-0.609,0.39,-652.21,50.7,5.9,USDJPY,MR_RG
0.4,629,72.5,-0.078,0.8,-936.49,43.71,6.0,USDJPY,LDN_MO
0.6,596,64.43,-0.059,0.91,-480.21,39.07,8.4,USDJPY,LDN_MO
0.75,584,58.05,-0.075,0.89,-713.1,42.56,10.1,USDJPY,LDN_MO
1.0,572,51.57,-0.071,0.9,-688.69,43.1,12.4,USDJPY,LDN_MO
1.25,563,47.07,-0.076,0.92,-607.18,46.62,14.5,USDJPY,LDN_MO
1.5,563,43.52,-0.084,0.92,-616.43,51.48,15.9,USDJPY,LDN_MO
1.75,561,41.35,-0.089,0.92,-684.47,53.06,17.0,USDJPY,LDN_MO
2.0,561,40.29,-0.081,0.95,-393.09,52.65,17.6,USDJPY,LDN_MO
2.25,561,39.57,-0.084,0.93,-558.53,51.76,18.1,USDJPY,LDN_MO
2.5,561,39.22,-0.086,0.93,-628.6,50.66,18.6,USDJPY,LDN_MO
3.0,561,39.22,-0.065,0.94,-487.49,47.83,19.0,USDJPY,LDN_MO
0.4,2869,66.82,-0.194,0.56,-8140.62,99.64,3.5,USDJPY,MS_BOS
0.6,2563,59.73,-0.193,0.66,-7178.47,99.35,4.8,USDJPY,MS_BOS
0.75,2388,55.19,-0.184,0.71,-6155.37,98.88,5.6,USDJPY,MS_BOS
1.0,2186,47.9,-0.194,0.75,-5686.14,98.71,7.3,USDJPY,MS_BOS
1.25,2042,43.0,-0.195,0.77,-5318.17,98.43,8.7,USDJPY,MS_BOS
1.5,1933,38.7,-0.21,0.76,-5605.59,98.54,9.8,USDJPY,MS_BOS
1.75,1856,35.99,-0.205,0.78,-5177.21,98.21,10.8,USDJPY,MS_BOS
2.0,1795,33.37,-0.215,0.77,-5332.85,98.34,11.5,USDJPY,MS_BOS
2.25,1752,32.08,-0.197,0.81,-4397.83,97.65,12.2,USDJPY,MS_BOS
2.5,1709,30.84,-0.2,0.81,-4274.3,97.42,12.8,USDJPY,MS_BOS
3.0,1657,29.03,-0.219,0.79,-4808.46,98.12,13.8,USDJPY,MS_BOS
