Pair,ExitModel,Trades,WinRate%,Exp(R),ProfitFactor,NetPips,MaxDD%
EURUSD,A_Fixed_0.75R,154,55.19,-0.25,0.56,-334.16,34.45
EURUSD,B_Fixed_1.00R,154,50.65,-0.203,0.69,-247.91,30.61
EURUSD,C_Fixed_1.25R,153,46.41,-0.176,0.78,-186.48,27.64
EURUSD,D_Fixed_1.50R,152,43.42,-0.137,0.84,-146.67,24.01
EURUSD,E_Fixed_2.00R,152,35.53,-0.179,0.86,-138.16,33.03
EURUSD,F_Partial_1R_Trail,153,50.98,-0.265,0.63,-291.04,36.33
EURUSD,G_ATR_Trailing_1.5x,156,27.56,-0.342,0.46,-381.74,43.1
EURUSD,H_Structural_Trailing,151,26.49,-0.29,0.73,-278.17,41.61
EURUSD,I_Time_Exit_16_Bars,152,32.89,-0.254,0.75,-242.46,39.13
EURUSD,J_BreakEven_At_0.75R,154,8.44,-0.445,0.36,-529.1,51.17
GBPUSD,A_Fixed_0.75R,166,50.6,-0.363,0.46,-629.1,46.26
GBPUSD,B_Fixed_1.00R,164,45.12,-0.346,0.54,-569.17,44.73
GBPUSD,C_Fixed_1.25R,164,42.07,-0.312,0.62,-489.7,41.96
GBPUSD,D_Fixed_1.50R,163,38.04,-0.317,0.67,-451.68,42.73
GBPUSD,E_Fixed_2.00R,162,32.72,-0.313,0.68,-461.33,42.82
GBPUSD,F_Partial_1R_Trail,163,46.01,-0.355,0.52,-587.29,45.31
GBPUSD,G_ATR_Trailing_1.5x,170,25.29,-0.433,0.35,-709.92,52.43
GBPUSD,H_Structural_Trailing,161,27.95,-0.296,0.7,-421.99,40.42
GBPUSD,I_Time_Exit_16_Bars,163,36.81,-0.26,0.76,-311.53,37.11
GBPUSD,J_BreakEven_At_0.75R,165,8.48,-0.545,0.25,-948.1,60.61
USDJPY,A_Fixed_0.75R,178,50.56,-0.272,0.54,-671.3,39.35
USDJPY,B_Fixed_1.00R,175,47.43,-0.205,0.67,-502.95,31.43
USDJPY,C_Fixed_1.25R,174,42.53,-0.216,0.66,-573.82,32.91
USDJPY,D_Fixed_1.50R,174,40.23,-0.188,0.7,-515.28,29.26
USDJPY,E_Fixed_2.00R,172,37.79,-0.103,0.83,-290.86,28.89
USDJPY,F_Partial_1R_Trail,174,48.28,-0.234,0.63,-555.39,34.43
USDJPY,G_ATR_Trailing_1.5x,180,26.67,-0.313,0.43,-723.28,43.58
USDJPY,H_Structural_Trailing,171,30.99,-0.105,0.89,-197.18,26.59
USDJPY,I_Time_Exit_16_Bars,175,36.0,-0.168,0.77,-389.09,30.88
USDJPY,J_BreakEven_At_0.75R,177,10.73,-0.373,0.41,-892.27,49.45
