Pair,Dimension,Category,Trades,WinRate%,Exp(R),ProfitFactor
EURUSD,Direction,BUY (LONG),85,52.94,-0.199,0.61
EURUSD,Direction,SELL (SHORT),69,52.17,-0.206,0.77
EURUSD,Session,LONDON,50,68.0,0.1,1.3
EURUSD,Session,LONDON_NY_OVERLAP,20,40.0,-0.379,0.38
EURUSD,Session,NEW_YORK,28,46.43,-0.245,0.62
EURUSD,Session,ASIAN,56,46.43,-0.387,0.49
GBPUSD,Direction,BUY (LONG),88,43.18,-0.447,0.37
GBPUSD,Direction,SELL (SHORT),76,52.63,-0.228,0.74
GBPUSD,Session,LONDON,46,50.0,-0.331,0.58
GBPUSD,Session,LONDON_NY_OVERLAP,19,52.63,-0.183,0.54
GBPUSD,Session,NEW_YORK,30,40.0,-0.278,0.48
GBPUSD,Session,ASIAN,69,47.83,-0.429,0.47
USDJPY,Direction,BUY (LONG),120,47.5,-0.261,0.52
USDJPY,Direction,SELL (SHORT),56,48.21,-0.2,0.81
USDJPY,Session,LONDON,32,46.88,-0.243,0.64
USDJPY,Session,LONDON_NY_OVERLAP,30,26.67,-0.658,0.27
USDJPY,Session,NEW_YORK,38,52.63,-0.108,0.89
USDJPY,Session,ASIAN,76,53.95,-0.144,0.7
