Pair,Target_R,Trades,WinRate%,Exp(R),ProfitFactor,MaxDD%,NetPips,AvgDuration_bars
EURUSD,0.4,136,58.09,-0.297,0.28,34.48,-351.65,3.3
EURUSD,0.5,134,62.69,-0.279,0.37,32.95,-341.12,3.9
EURUSD,0.6,133,61.65,-0.267,0.44,32.31,-319.86,4.3
EURUSD,0.75,131,56.49,-0.276,0.53,33.76,-294.77,5.1
EURUSD,0.9,129,54.26,-0.233,0.61,30.54,-254.85,5.7
EURUSD,1.0,129,52.71,-0.203,0.67,28.49,-224.28,6.3
EURUSD,1.1,129,51.16,-0.183,0.69,27.3,-218.81,6.5
EURUSD,1.25,128,46.88,-0.203,0.72,26.55,-206.35,7.1
EURUSD,1.5,127,44.09,-0.156,0.78,22.8,-169.0,8.3
EURUSD,1.75,127,42.52,-0.09,0.89,17.38,-89.63,9.2
EURUSD,2.0,127,38.58,-0.109,0.89,22.73,-94.38,10.1
EURUSD,2.5,126,31.75,-0.198,0.82,31.05,-158.07,12.0
EURUSD,3.0,126,29.37,-0.183,0.82,31.24,-164.11,12.7
GBPUSD,0.4,138,49.28,-0.448,0.23,46.6,-592.0,2.8
GBPUSD,0.5,134,50.75,-0.433,0.3,44.43,-558.83,3.4
GBPUSD,0.6,134,52.99,-0.4,0.39,41.99,-502.68,3.7
GBPUSD,0.75,132,51.52,-0.401,0.42,41.71,-533.97,4.5
GBPUSD,0.9,130,48.46,-0.385,0.46,40.18,-512.2,6.0
GBPUSD,1.0,130,45.38,-0.382,0.47,39.97,-528.64,6.7
GBPUSD,1.1,130,44.62,-0.354,0.52,37.87,-475.58,6.9
GBPUSD,1.25,130,43.85,-0.317,0.59,34.97,-417.82,7.3
GBPUSD,1.5,130,39.23,-0.305,0.61,34.16,-408.22,8.6
GBPUSD,1.75,128,33.59,-0.367,0.57,39.18,-492.36,9.6
GBPUSD,2.0,128,33.59,-0.29,0.66,33.38,-386.01,10.5
GBPUSD,2.5,127,31.5,-0.267,0.7,31.29,-353.42,11.8
GBPUSD,3.0,127,27.56,-0.32,0.68,36.18,-394.92,13.2
USDJPY,0.4,154,64.29,-0.247,0.41,32.29,-526.87,3.1
USDJPY,0.5,151,61.59,-0.25,0.46,32.29,-543.94,3.7
USDJPY,0.6,148,57.43,-0.264,0.5,33.32,-552.16,4.3
USDJPY,0.75,145,53.1,-0.254,0.54,32.15,-554.48,4.8
USDJPY,0.9,142,51.41,-0.206,0.62,26.43,-471.85,6.0
USDJPY,1.0,142,48.59,-0.211,0.64,27.09,-466.29,6.4
USDJPY,1.1,141,46.81,-0.19,0.64,24.92,-487.37,6.9
USDJPY,1.25,141,43.26,-0.207,0.62,26.85,-526.32,8.0
USDJPY,1.5,141,42.55,-0.142,0.7,19.29,-423.62,8.6
USDJPY,1.75,141,41.84,-0.07,0.82,15.43,-263.19,9.1
USDJPY,2.0,139,41.01,-0.004,0.9,14.13,-147.36,9.6
USDJPY,2.5,138,37.68,0.059,0.98,17.29,-22.39,10.7
USDJPY,3.0,138,34.06,-0.051,0.87,19.15,-201.0,12.4
