Pair,EntryTime,Direction,MFE_Pips,MFE_R,MAE_Pips,MAE_R,BarsToMFE,BarsToMAE,BarsTo_0_50R,BarsTo_0_75R,BarsTo_1_00R,FinalPnL_R,FinalPnL_NetPips,Year
EURUSD,2023-01-20 09:15:00+00:00,1,12.2,1.462,0.8,0.096,0,0,0.0,0.0,0.0,0.772,6.45,2023
EURUSD,2023-02-07 11:30:00+00:00,-1,22.0,1.275,2.6,0.151,7,0,1.0,2.0,7.0,0.89,15.35,2023
EURUSD,2023-02-14 04:15:00+00:00,1,9.7,1.389,4.8,0.687,8,0,2.0,6.0,8.0,0.742,5.19,2023
EURUSD,2023-02-27 07:15:00+00:00,-1,6.3,1.003,1.8,0.287,0,0,0.0,0.0,0.0,0.681,4.28,2023
EURUSD,2023-03-01 22:45:00+00:00,1,8.2,0.932,2.3,0.261,3,0,2.0,3.0,,0.784,6.9,2023
EURUSD,2023-03-16 15:30:00+00:00,-1,9.1,0.344,45.8,1.73,0,1,,,,-1.068,-28.27,2023
EURUSD,2023-03-22 04:15:00+00:00,1,1.1,0.165,8.2,1.23,0,2,,,,-1.285,-8.56,2023
EURUSD,2023-04-12 06:15:00+00:00,1,6.5,0.982,3.4,0.513,6,0,3.0,4.0,,0.713,4.72,2023
EURUSD,2023-04-14 01:45:00+00:00,1,8.3,2.17,1.3,0.34,5,0,4.0,5.0,5.0,0.503,1.93,2023
EURUSD,2023-04-19 06:00:00+00:00,1,0.9,0.139,7.1,1.095,0,7,,,,-1.293,-8.38,2023
EURUSD,2023-05-19 06:45:00+00:00,-1,8.1,1.099,0.8,0.109,3,0,2.0,3.0,3.0,0.756,5.57,2023
EURUSD,2023-05-23 12:00:00+00:00,-1,22.1,1.585,1.1,0.079,2,0,1.0,1.0,2.0,0.864,12.04,2023
EURUSD,2023-05-24 01:15:00+00:00,-1,2.3,0.475,6.4,1.322,7,16,,,,-1.413,-6.84,2023
EURUSD,2023-06-16 08:45:00+00:00,1,14.0,2.494,4.7,0.837,2,1,1.0,1.0,2.0,0.679,3.81,2023
EURUSD,2023-06-22 10:30:00+00:00,1,8.6,1.157,5.8,0.78,0,0,0.0,0.0,0.0,0.758,5.64,2023
