Pair,Year,Trades,WinRate%,Exp(R),ProfitFactor,NetPips,MaxDD%,AvgR,MedianR
EURUSD,2023,40,55.0,-0.157,0.76,-52.07,10.46,-0.15713813524428139,0.5400213693850177
EURUSD,2024,45,51.11,-0.293,0.6,-80.4,12.99,-0.29318959820091695,0.3725490195341733
EURUSD,2025,44,52.27,-0.152,0.64,-91.8,10.91,-0.15186904258550335,0.5663988392861048
EURUSD,2026,25,52.0,-0.199,0.75,-27.31,6.4,-0.19889945552104715,0.4593495933655475
GBPUSD,2023,45,48.89,-0.307,0.5,-165.64,13.7,-0.30672373001945313,-0.10758885685864483
GBPUSD,2024,40,55.0,-0.261,0.78,-43.42,12.25,-0.26051868450531274,0.283540004932872
GBPUSD,2025,45,33.33,-0.564,0.31,-319.59,21.78,-0.5641980160759811,-1.1458333332537112
GBPUSD,2026,34,55.88,-0.207,0.71,-62.11,8.12,-0.2065946140148367,0.523208722647265
USDJPY,2023,55,50.91,-0.163,0.68,-145.29,11.48,-0.16343540923510397,0.5512820512325622
USDJPY,2024,45,57.78,-0.034,1.03,10.43,9.03,-0.034491464179471215,0.662280701652932
USDJPY,2025,42,35.71,-0.462,0.35,-331.43,18.49,-0.4616308689820289,-1.1089291455133246
USDJPY,2026,34,44.12,-0.371,0.58,-105.98,10.42,-0.37081071444183467,-1.1433854973418707
