Pair,Model,Year,Sample_Type,Trades,WinRate%,Gross_E[R],Net_E[R],ProfitFactor,NetPips
EURUSD,CANONICAL_2.0R_TARGET,2023,DEV_VAL,13,53.85,0.616,0.413,1.51,44.1
EURUSD,CANONICAL_2.0R_TARGET,2024,DEV_VAL,14,50.0,0.502,0.21,1.28,18.95
EURUSD,CANONICAL_2.0R_TARGET,2025,DEV_VAL,15,66.67,1.003,0.775,3.92,139.29
EURUSD,CANONICAL_2.0R_TARGET,2026,UNT_OOS,9,33.33,-0.004,-0.256,0.99,-0.45
EURUSD,CANONICAL_1.0R_TARGET,2023,DEV_VAL,14,64.29,0.286,0.082,0.88,-9.36
EURUSD,CANONICAL_1.0R_TARGET,2024,DEV_VAL,14,71.43,0.431,0.139,1.36,14.11
EURUSD,CANONICAL_1.0R_TARGET,2025,DEV_VAL,15,86.67,0.737,0.507,4.2,74.36
EURUSD,CANONICAL_1.0R_TARGET,2026,UNT_OOS,9,55.56,0.107,-0.145,0.88,-4.55
GBPUSD,CANONICAL_2.0R_TARGET,2023,DEV_VAL,11,45.45,0.351,0.086,1.02,2.29
GBPUSD,CANONICAL_2.0R_TARGET,2024,DEV_VAL,11,63.64,0.915,0.599,3.01,86.38
GBPUSD,CANONICAL_2.0R_TARGET,2025,DEV_VAL,8,37.5,0.121,-0.155,0.86,-10.3
GBPUSD,CANONICAL_2.0R_TARGET,2026,UNT_OOS,10,70.0,1.099,0.818,3.52,93.04
GBPUSD,CANONICAL_1.0R_TARGET,2023,DEV_VAL,11,54.55,0.078,-0.187,0.77,-17.94
GBPUSD,CANONICAL_1.0R_TARGET,2024,DEV_VAL,11,81.82,0.642,0.326,3.24,46.24
GBPUSD,CANONICAL_1.0R_TARGET,2025,DEV_VAL,8,50.0,-0.004,-0.28,0.61,-22.97
GBPUSD,CANONICAL_1.0R_TARGET,2026,UNT_OOS,10,90.0,0.799,0.518,4.3,50.81
USDJPY,CANONICAL_2.0R_TARGET,2023,DEV_VAL,14,28.57,-0.138,-0.287,0.32,-156.75
USDJPY,CANONICAL_2.0R_TARGET,2024,DEV_VAL,12,33.33,-0.004,-0.202,0.51,-74.37
USDJPY,CANONICAL_2.0R_TARGET,2025,DEV_VAL,9,22.22,-0.186,-0.363,0.61,-43.43
USDJPY,CANONICAL_2.0R_TARGET,2026,UNT_OOS,3,0.0,-1.012,-1.177,0.0,-65.9
USDJPY,CANONICAL_1.0R_TARGET,2023,DEV_VAL,16,43.75,-0.121,-0.288,0.3,-147.5
USDJPY,CANONICAL_1.0R_TARGET,2024,DEV_VAL,12,33.33,-0.337,-0.535,0.23,-118.02
USDJPY,CANONICAL_1.0R_TARGET,2025,DEV_VAL,9,33.33,-0.186,-0.363,0.43,-55.03
USDJPY,CANONICAL_1.0R_TARGET,2026,UNT_OOS,4,25.0,-0.509,-0.69,0.12,-58.01
