trade_id_v2_disc,symbol_v2_disc,strategy_name_v2_disc,direction_v2_disc,signal_time_v2_disc,entry_time,entry_price_v2_disc,exit_time_v2_disc,exit_price_v2_disc,exit_reason_v2_disc,stop_loss_v2_disc,take_profit_v2_disc,holding_bars_v2_disc,risk_pips_v2_disc,pnl_gross_pips_v2_disc,spread_cost_pips_v2_disc,slippage_cost_pips_v2_disc,commission_pips_v2_disc,pnl_net_pips_v2_disc,pnl_r_multiple_v2_disc,regime_v2_disc,session_v2_disc,year_v2_disc,metadata_v2_disc,trend_transition,adx_14,ema_stack,trade_id_v3_rep,symbol_v3_rep,strategy_name_v3_rep,direction_v3_rep,signal_time_v3_rep,entry_price_v3_rep,exit_time_v3_rep,exit_price_v3_rep,exit_reason_v3_rep,stop_loss_v3_rep,take_profit_v3_rep,holding_bars_v3_rep,risk_pips_v3_rep,pnl_gross_pips_v3_rep,spread_cost_pips_v3_rep,slippage_cost_pips_v3_rep,commission_pips_v3_rep,pnl_net_pips_v3_rep,pnl_r_multiple_v3_rep,regime_v3_rep,session_v3_rep,year_v3_rep,metadata_v3_rep,r_diff
4,EURUSD,TF_PB,1,2023-01-20 09:00:00+00:00,2023-01-20 09:15:00+00:00,1.08344,2023-01-20 10:00:00+00:00,1.0849892857142858,TP,1.0825453571428572,1.0850492857142857,4,8.346428571428769,16.692857142857065,0.8,0.4,0.7,14.792857142858086,1.7723577233649577,WEAK_BULL__LOW_VOL,LONDON,2023,{'atr': 0.0005564285714285847},RANGE_TO_TREND,29.742739319683885,1,1,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-01-20 09:00:00+00:00,1.08344,2023-01-20 09:15:00+00:00,1.084154642857143,TP,1.0825453571428572,1.0842146428571429,1,8.346428571428769,8.346428571428532,0.8,0.4,0.7,6.446428571429553,0.7723577234847976,WEAK_BULL__LOW_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 16.664901515594487}",0.9999999998801601
21,EURUSD,TF_PB,-1,2023-02-07 11:15:00+00:00,2023-02-07 11:30:00+00:00,1.07232,2023-02-07 15:15:00+00:00,1.0689899999999999,TP,1.0741049999999999,1.06893,16,17.249999999999766,34.49999999999953,0.8,0.4,0.7,32.60000000000055,1.8898550723542689,STRONG_BEAR__NORMAL_VOL,LONDON,2023,{'atr': 0.0011499999999999844},RANGE_TO_TREND,27.479641936375163,-1,2,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-02-07 11:15:00+00:00,1.07232,2023-02-07 13:15:00+00:00,1.0707149999999999,TP,1.0741049999999999,1.070655,8,17.249999999999766,17.249999999999766,0.8,0.4,0.7,15.350000000000787,0.88985507241224,STRONG_BEAR__NORMAL_VOL,LONDON,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 8.378613570263951}",0.9999999999420288
32,EURUSD,TF_PB,-1,2023-02-27 07:00:00+00:00,2023-02-27 07:15:00+00:00,1.0546600000000002,2023-02-27 08:30:00+00:00,1.0535342857142855,TP,1.055357857142857,1.0534742857142856,6,6.278571428571403,12.457142857145165,0.8,0.4,0.7,10.557142857146186,1.6814561999602595,STRONG_BEAR__LOW_VOL,LONDON,2023,{'atr': 0.0004185714285714269},RANGE_TO_TREND,32.6182684305686,-1,4,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-02-27 07:00:00+00:00,1.0546600000000002,2023-02-27 07:15:00+00:00,1.0541621428571428,TP,1.055357857142857,1.0541021428571429,1,6.278571428571403,6.178571428572255,0.8,0.4,0.7,4.278571428573275,0.6814562001192913,STRONG_BEAR__LOW_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 15.647515640119975}",0.9999999998409682
37,EURUSD,TF_PB,-1,2023-03-16 15:15:00+00:00,2023-03-16 15:30:00+00:00,1.05755,2023-03-16 15:45:00+00:00,1.0603075,SL,1.0602475,1.052305,2,26.47499999999977,-26.375000000000703,0.8,0.4,0.7,-28.274999999999682,-1.0679886685148985,STRONG_BEAR__LOW_VOL,OVERLAP,2023,{'atr': 0.001764999999999985},RANGE_TO_TREND,28.726709709277337,-1,6,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-03-16 15:15:00+00:00,1.05755,2023-03-16 15:45:00+00:00,1.0603075,SL,1.0602475,1.0549525000000002,2,26.47499999999977,-26.375000000000703,0.8,0.4,0.7,-28.274999999999682,-1.0679886685148985,STRONG_BEAR__LOW_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 10.78389725551187}",0.0
63,EURUSD,TF_PB,-1,2023-05-23 11:45:00+00:00,2023-05-23 12:00:00+00:00,1.08027,2023-05-23 13:00:00+00:00,1.0776021428571427,TP,1.0817239285714286,1.0775421428571428,5,13.939285714285914,27.878571428572307,0.8,0.4,0.7,25.97857142857333,1.8636945937685352,STRONG_BEAR__HIGH_VOL,OVERLAP,2023,{'atr': 0.0009292857142857278},RANGE_TO_TREND,26.20781581460691,-1,12,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-05-23 11:45:00+00:00,1.08027,2023-05-23 12:30:00+00:00,1.0789960714285713,TP,1.0817239285714286,1.0789360714285714,3,13.939285714285914,13.939285714286154,0.8,0.4,0.7,12.039285714287175,0.8636945938402578,STRONG_BEAR__HIGH_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 10.43288841393678}",0.9999999999282774
75,EURUSD,TF_PB,1,2023-06-22 10:15:00+00:00,2023-06-22 10:30:00+00:00,1.09917,2023-06-22 13:00:00+00:00,1.1005471428571427,TP,1.0983764285714288,1.1006071428571427,11,7.435714285713276,14.971428571426415,0.8,0.4,0.7,13.071428571427436,1.757925071809779,STRONG_BULL__LOW_VOL,LONDON,2023,{'atr': 0.0004957142857142184},RANGE_TO_TREND,22.852784685009777,1,15,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-06-22 10:15:00+00:00,1.09917,2023-06-22 10:30:00+00:00,1.0998035714285714,TP,1.0983764285714288,1.0998635714285714,1,7.435714285713276,7.535714285713535,0.8,0.4,0.7,5.635714285714555,0.7579250719443182,STRONG_BULL__LOW_VOL,LONDON,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 7.352046466042234}",0.9999999998654607
76,EURUSD,TF_PB,-1,2023-06-26 12:45:00+00:00,2023-06-26 13:00:00+00:00,1.0896000000000001,2023-06-26 13:15:00+00:00,1.0907667857142858,SL,1.0907067857142858,1.0875664285714288,2,10.467857142856728,-10.467857142857362,0.8,0.4,0.7,-12.36785714285634,-1.1815080176284853,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0006978571428571152},RANGE_TO_TREND,29.661489591327577,-1,17,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-06-26 12:45:00+00:00,1.0896000000000001,2023-06-26 13:15:00+00:00,1.0907667857142858,SL,1.0907067857142858,1.0886132142857143,2,10.467857142856728,-10.467857142857362,0.8,0.4,0.7,-12.36785714285634,-1.1815080176284853,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 18.76067184104437}",0.0
78,EURUSD,TF_PB,-1,2023-07-04 14:45:00+00:00,2023-07-04 15:00:00+00:00,1.0897700000000001,2023-07-04 17:15:00+00:00,1.0907417857142858,SL,1.0906817857142859,1.0881264285714287,10,8.517857142857036,-8.51785714285791,0.8,0.4,0.7,-10.417857142856889,-1.2230607965021,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0005678571428571358},RANGE_TO_TREND,30.54490038071824,-1,19,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-07-04 14:45:00+00:00,1.0897700000000001,2023-07-04 17:15:00+00:00,1.0907417857142858,SL,1.0906817857142859,1.0889782142857143,10,8.517857142857036,-8.51785714285791,0.8,0.4,0.7,-10.417857142856889,-1.2230607965021,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 17.399001925264947}",0.0
110,EURUSD,TF_PB,1,2023-08-30 15:00:00+00:00,2023-08-30 15:15:00+00:00,1.08864,2023-08-30 15:30:00+00:00,1.0909585714285714,TP,1.0873607142857145,1.0910185714285714,2,12.192857142856846,24.3857142857129,0.8,0.4,0.7,22.48571428571392,1.8441710601885422,STRONG_BULL__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0008128571428571231},RANGE_TO_TREND,33.21226253957468,1,24,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-08-30 15:00:00+00:00,1.08864,2023-08-30 15:15:00+00:00,1.0897392857142858,TP,1.0873607142857145,1.0897992857142857,1,12.192857142856846,12.19285714285645,0.8,0.4,0.7,10.292857142857471,0.84417106027059,STRONG_BULL__NORMAL_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 18.097856515975174}",0.9999999999179522
126,EURUSD,TF_PB,1,2023-10-06 10:15:00+00:00,2023-10-06 10:30:00+00:00,1.05439,2023-10-06 12:30:00+00:00,1.0555692857142858,TP,1.0536653571428571,1.0556292857142857,9,6.546428571428398,12.99285714285725,0.8,0.4,0.7,11.092857142858271,1.6944899069972401,WEAK_BULL__LOW_VOL,LONDON,2023,{'atr': 0.00043642857142855984},RANGE_TO_TREND,24.73367732118252,1,29,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-10-06 10:15:00+00:00,1.05439,2023-10-06 10:30:00+00:00,1.0549146428571428,TP,1.0536653571428571,1.0549746428571427,1,6.546428571428398,6.446428571427187,0.8,0.4,0.7,4.5464285714282076,0.6944899071497407,WEAK_BULL__LOW_VOL,LONDON,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 6.71728419607226}",0.9999999998474994
129,EURUSD,TF_PB,1,2023-10-11 11:30:00+00:00,2023-10-11 11:45:00+00:00,1.06122,2023-10-11 15:30:00+00:00,1.0595742857142858,SL,1.0596342857142858,1.0642114285714286,16,15.257142857142652,-15.257142857143524,0.8,0.4,0.7,-17.157142857142503,-1.124531835132279,STRONG_BULL__HIGH_VOL,LONDON,2023,{'atr': 0.0010171428571428434},RANGE_TO_TREND,24.42773981084013,1,31,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-10-11 11:30:00+00:00,1.06122,2023-10-11 15:30:00+00:00,1.0595742857142858,SL,1.0596342857142858,1.0626857142857145,16,15.257142857142652,-15.257142857143524,0.8,0.4,0.7,-17.157142857142503,-1.124531835132279,STRONG_BULL__HIGH_VOL,LONDON,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 9.804870348720415}",0.0
194,EURUSD,TF_PB,1,2024-02-02 10:45:00+00:00,2024-02-02 11:00:00+00:00,1.08799,2024-02-02 15:30:00+00:00,1.086889642857143,SL,1.086949642857143,1.0898907142857144,19,9.80357142857118,-9.803571428570468,0.8,0.4,0.7,-11.703571428569447,-1.1938069215538296,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.0006535714285714121},RANGE_TO_TREND,25.694669554481056,1,45,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-02-02 10:45:00+00:00,1.08799,2024-02-02 11:15:00+00:00,1.0888503571428572,TP,1.086949642857143,1.088910357142857,2,9.80357142857118,9.803571428570468,0.8,0.4,0.7,7.903571428571488,0.8061930782420177,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 9.308334092430755}",-1.9999999997958473
201,EURUSD,TF_PB,-1,2024-02-14 09:45:00+00:00,2024-02-14 10:00:00+00:00,1.0707,2024-02-14 10:30:00+00:00,1.0695192857142857,TP,1.071410357142857,1.0694592857142857,3,6.503571428571211,13.007142857142107,0.8,0.4,0.7,11.107142857143128,1.7078528278539158,WEAK_BEAR__LOW_VOL,LONDON,2024,{'atr': 0.00043357142857141414},RANGE_TO_TREND,28.063153991990323,-1,48,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-02-14 09:45:00+00:00,1.0707,2024-02-14 10:00:00+00:00,1.0701696428571428,TP,1.071410357142857,1.0701096428571428,1,6.503571428571211,6.503571428571053,0.8,0.4,0.7,4.6035714285720735,0.7078528280077017,WEAK_BEAR__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 17.05836291329338}",0.9999999998462141
211,EURUSD,TF_PB,1,2024-03-04 09:30:00+00:00,2024-03-04 09:45:00+00:00,1.0849799999999998,2024-03-04 10:15:00+00:00,1.0844025,SL,1.0844624999999999,1.0858349999999999,3,4.575000000000472,-4.574999999999996,0.8,0.4,0.7,-6.474999999998976,-1.4153005461383623,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.00030500000000003143},RANGE_TO_TREND,24.57344406396789,1,51,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-03-04 09:30:00+00:00,1.0849799999999998,2024-03-04 09:45:00+00:00,1.0853175,TP,1.0844624999999999,1.0853774999999999,1,4.575000000000472,4.574999999999996,0.8,0.4,0.7,2.675000000001016,0.5846994534242712,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 11.669305776399051}",-1.9999999995626334
229,EURUSD,TF_PB,1,2024-04-18 08:15:00+00:00,2024-04-18 08:30:00+00:00,1.06798,2024-04-18 09:15:00+00:00,1.0688864285714286,TP,1.0674067857142857,1.0689464285714285,4,5.132142857142457,10.264285714285393,0.8,0.4,0.7,8.364285714286414,1.629784272473235,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.00034214285714283054},RANGE_TO_TREND,31.772912458290584,1,56,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-04-18 08:15:00+00:00,1.06798,2024-04-18 09:00:00+00:00,1.0683732142857143,TP,1.0674067857142857,1.0684332142857143,3,5.132142857142457,5.132142857142696,0.8,0.4,0.7,3.2321428571437165,0.6297842726680386,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 16.96127401556319}",0.9999999998051964
246,EURUSD,TF_PB,1,2024-05-14 15:30:00+00:00,2024-05-14 15:45:00+00:00,1.08055,2024-05-14 17:45:00+00:00,1.0824164285714286,TP,1.0795417857142857,1.0824764285714286,9,9.782142857142944,19.864285714286112,0.8,0.4,0.7,17.964285714287133,1.8364366555261593,WEAK_BULL__HIGH_VOL,OVERLAP,2024,{'atr': 0.0006521428571428631},RANGE_TO_TREND,30.16232935861722,1,60,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-05-14 15:30:00+00:00,1.08055,2024-05-14 16:00:00+00:00,1.0814382142857142,TP,1.0795417857142857,1.0814982142857141,2,9.782142857142944,10.082142857141818,0.8,0.4,0.7,8.18214285714284,0.8364366556282484,WEAK_BULL__HIGH_VOL,OVERLAP,2024,"{'transition_quality': 'STRONG', 'adx_delta': 11.34604706854914}",0.9999999998979109
259,EURUSD,TF_PB,1,2024-06-07 07:00:00+00:00,2024-06-07 07:15:00+00:00,1.08954,2024-06-07 08:30:00+00:00,1.0890503571428571,SL,1.089110357142857,1.0902192857142858,6,3.6964285714292346,-3.6964285714291556,0.8,0.4,0.7,-5.596428571428135,-1.514009661425772,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.00024642857142861567},RANGE_TO_TREND,26.01010589903912,1,62,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-06-07 07:00:00+00:00,1.08954,2024-06-07 08:30:00+00:00,1.0890503571428571,SL,1.089110357142857,1.089849642857143,6,3.6964285714292346,-3.6964285714291556,0.8,0.4,0.7,-5.596428571428135,-1.514009661425772,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 7.749598479746723}",0.0
302,EURUSD,TF_PB,1,2024-09-05 10:00:00+00:00,2024-09-05 10:15:00+00:00,1.10863,2024-09-05 10:15:00+00:00,1.1080589285714286,SL,1.1081189285714286,1.109472142857143,1,4.510714285714573,-4.510714285714812,0.8,0.4,0.7,-6.410714285713792,-1.4212193187662754,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.0003007142857143049},RANGE_TO_TREND,26.169529077842373,1,69,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-09-05 10:00:00+00:00,1.10863,2024-09-05 10:15:00+00:00,1.1080589285714286,SL,1.1081189285714286,1.1090210714285715,1,4.510714285714573,-4.510714285714812,0.8,0.4,0.7,-6.410714285713792,-1.4212193187662754,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 15.449589455900258}",0.0
303,EURUSD,TF_PB,1,2024-09-05 10:30:00+00:00,2024-09-05 10:45:00+00:00,1.10835,2024-09-05 11:00:00+00:00,1.1093585714285716,TP,1.1076957142857145,1.1094185714285716,2,5.742857142857177,11.285714285715898,0.8,0.4,0.7,9.385714285716919,1.6343283579248196,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.0003828571428571451},RANGE_TO_TREND,33.57946934741004,1,70,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-09-05 10:30:00+00:00,1.10835,2024-09-05 11:00:00+00:00,1.1087842857142858,TP,1.1076957142857145,1.1088442857142857,2,5.742857142857177,5.542857142857294,0.8,0.4,0.7,3.642857142858314,0.6343283580987003,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 20.625589791641822}",0.9999999998261193
307,EURUSD,TF_PB,1,2024-09-06 15:30:00+00:00,2024-09-06 15:45:00+00:00,1.11347,2024-09-06 15:45:00+00:00,1.1118714285714286,SL,1.1119314285714286,1.116367142857143,1,14.78571428571432,-14.785714285714402,0.8,0.4,0.7,-16.68571428571338,-1.1285024153825496,STRONG_BULL__HIGH_VOL,OVERLAP,2024,{'atr': 0.0009857142857142881},RANGE_TO_TREND,38.052992287754485,1,71,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-09-06 15:30:00+00:00,1.11347,2024-09-06 15:45:00+00:00,1.1118714285714286,SL,1.1119314285714286,1.1148885714285715,1,14.78571428571432,-14.785714285714402,0.8,0.4,0.7,-16.68571428571338,-1.1285024153825496,STRONG_BULL__HIGH_VOL,OVERLAP,2024,"{'transition_quality': 'STRONG', 'adx_delta': 18.003118249302798}",0.0
323,EURUSD,TF_PB,-1,2024-10-09 14:00:00+00:00,2024-10-09 14:15:00+00:00,1.09633,2024-10-09 16:15:00+00:00,1.094992857142857,TP,1.0971185714285714,1.0949328571428572,9,7.285714285713959,14.571428571428235,0.8,0.4,0.7,12.671428571429256,1.739215686035966,WEAK_BEAR__NORMAL_VOL,OVERLAP,2024,{'atr': 0.0004857142857142639},RANGE_TO_TREND,23.691866318265674,-1,75,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-10-09 14:00:00+00:00,1.09633,2024-10-09 14:45:00+00:00,1.0957214285714285,TP,1.0971185714285714,1.0956614285714286,3,7.285714285713959,7.285714285714118,0.8,0.4,0.7,5.385714285715138,0.739215686173199,WEAK_BEAR__NORMAL_VOL,OVERLAP,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 9.916576819939639}",0.999999999862767
329,EURUSD,TF_PB,1,2024-10-25 12:00:00+00:00,2024-10-25 12:15:00+00:00,1.08259,2024-10-25 18:30:00+00:00,1.0816864285714285,SL,1.0817464285714284,1.0841571428571428,26,8.035714285714112,-7.8357142857155,0.8,0.4,0.7,-9.73571428571448,-1.2115555554048345,STRONG_BULL__LOW_VOL,OVERLAP,2024,{'atr': 0.0005357142857142742},RANGE_TO_TREND,25.175845335020515,1,78,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-10-25 12:00:00+00:00,1.08259,2024-10-25 15:30:00+00:00,1.0832935714285714,TP,1.0817464285714284,1.0833535714285714,14,8.035714285714112,8.23571428571368,0.8,0.4,0.7,6.3357142857147,0.7884444443463955,STRONG_BULL__LOW_VOL,OVERLAP,2024,"{'transition_quality': 'STRONG', 'adx_delta': 10.423815203206237}",-1.99999999975123
333,EURUSD,TF_PB,1,2024-10-31 13:30:00+00:00,2024-10-31 13:45:00+00:00,1.0865799999999999,2024-10-31 14:30:00+00:00,1.0882407142857142,TP,1.0856296428571428,1.0883007142857142,4,8.90357142857171,17.807142857142466,0.8,0.4,0.7,15.907142857143487,1.786602486762851,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,{'atr': 0.0005935714285714473},RANGE_TO_TREND,23.375620931432024,1,80,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-10-31 13:30:00+00:00,1.0865799999999999,2024-10-31 14:15:00+00:00,1.087350357142857,TP,1.0856296428571428,1.087410357142857,3,8.90357142857171,8.903571428571233,0.8,0.4,0.7,7.003571428572253,0.7866024868752187,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 7.745129460593953}",0.9999999998876322
345,EURUSD,TF_PB,1,2024-12-06 10:45:00+00:00,2024-12-06 11:00:00+00:00,1.0582399999999998,2024-12-06 11:30:00+00:00,1.0572514285714285,SL,1.0573114285714285,1.0599471428571428,3,8.78571428571427,-8.685714285714408,0.8,0.4,0.7,-10.585714285713387,-1.2048780486432469,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.0005857142857142847},RANGE_TO_TREND,28.76166599204443,1,81,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2024-12-06 10:45:00+00:00,1.0582399999999998,2024-12-06 11:30:00+00:00,1.0572514285714285,SL,1.0573114285714285,1.0590685714285715,3,8.78571428571427,-8.685714285714408,0.8,0.4,0.7,-10.585714285713387,-1.2048780486432469,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 13.969095202861267}",0.0
357,EURUSD,TF_PB,-1,2025-01-09 09:15:00+00:00,2025-01-09 09:30:00+00:00,1.03028,2025-01-09 10:00:00+00:00,1.028772857142857,TP,1.0311235714285714,1.028712857142857,3,8.035714285714112,16.27142857143049,0.8,0.4,0.7,14.371428571431512,1.7884444442222869,STRONG_BEAR__LOW_VOL,LONDON,2025,{'atr': 0.0005357142857142742},RANGE_TO_TREND,36.94043871306942,-1,86,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2025-01-09 09:15:00+00:00,1.03028,2025-01-09 09:30:00+00:00,1.0295764285714284,TP,1.0311235714285714,1.0295164285714284,1,8.035714285714112,8.2357142857159,0.8,0.4,0.7,6.335714285716921,0.7884444443466718,STRONG_BEAR__LOW_VOL,LONDON,2025,"{'transition_quality': 'STRONG', 'adx_delta': 18.16030882575609}",0.999999999875615
359,EURUSD,TF_PB,1,2025-01-14 11:30:00+00:00,2025-01-14 11:45:00+00:00,1.02629,2025-01-14 14:00:00+00:00,1.024732142857143,SL,1.024792142857143,1.0290157142857144,10,14.078571428571351,-14.378571428570464,0.8,0.4,0.7,-16.278571428569443,-1.1562658548137277,STRONG_BULL__NORMAL_VOL,LONDON,2025,{'atr': 0.0009385714285714235},RANGE_TO_TREND,39.954218199015365,1,89,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2025-01-14 11:30:00+00:00,1.02629,2025-01-14 14:00:00+00:00,1.024732142857143,SL,1.024792142857143,1.027607857142857,10,14.078571428571351,-14.378571428570464,0.8,0.4,0.7,-16.278571428569443,-1.1562658548137277,STRONG_BULL__NORMAL_VOL,LONDON,2025,"{'transition_quality': 'STRONG', 'adx_delta': 23.808459444610694}",0.0
