Pair,Model_Configuration,Trades,WinRate%,Gross_E[R],Net_E[R],ProfitFactor,NetPips,MaxDD%,Sharpe
EURUSD,A_TF_PB_Only,679,29.75,-0.107,-0.348,0.66,-1777.64,91.16,-1.79
EURUSD,B_TF_PB_Plus_H1_Trend,679,29.75,-0.107,-0.348,0.66,-1777.64,91.16,-1.79
EURUSD,C_TF_PB_Plus_Session,679,29.75,-0.107,-0.348,0.66,-1777.64,91.16,-1.79
EURUSD,D_TF_PB_Plus_RangeToTrend,51,52.94,0.589,0.346,1.79,201.89,6.38,1.61
EURUSD,E_TF_PB_Plus_H1_And_Session,679,29.75,-0.107,-0.348,0.66,-1777.64,91.16,-1.79
EURUSD,F_Full_Frozen_V1,51,52.94,0.589,0.346,1.79,201.89,6.38,1.61
GBPUSD,A_TF_PB_Only,699,34.62,0.027,-0.262,0.77,-1464.42,85.96,-1.3
GBPUSD,B_TF_PB_Plus_H1_Trend,698,34.53,0.026,-0.263,0.77,-1486.92,85.96,-1.31
GBPUSD,C_TF_PB_Plus_Session,699,34.62,0.027,-0.262,0.77,-1464.42,85.96,-1.3
GBPUSD,D_TF_PB_Plus_RangeToTrend,40,55.0,0.647,0.362,1.68,171.41,3.33,1.69
GBPUSD,E_TF_PB_Plus_H1_And_Session,698,34.53,0.026,-0.263,0.77,-1486.92,85.96,-1.31
GBPUSD,F_Full_Frozen_V1,40,55.0,0.647,0.362,1.68,171.41,3.33,1.69
USDJPY,A_TF_PB_Only,667,33.13,-0.029,-0.206,0.79,-1704.63,79.43,-1.06
USDJPY,B_TF_PB_Plus_H1_Trend,667,33.13,-0.029,-0.206,0.79,-1704.63,79.43,-1.06
USDJPY,C_TF_PB_Plus_Session,667,33.13,-0.029,-0.206,0.79,-1704.63,79.43,-1.06
USDJPY,D_TF_PB_Plus_RangeToTrend,38,26.32,-0.176,-0.348,0.39,-340.44,13.31,-1.9
USDJPY,E_TF_PB_Plus_H1_And_Session,667,33.13,-0.029,-0.206,0.79,-1704.63,79.43,-1.06
USDJPY,F_Full_Frozen_V1,38,26.32,-0.176,-0.348,0.39,-340.44,13.31,-1.9
