Pair,Cost_Level,Spread_Pips,Comm_USD_Lot,Slippage_Pips,Trades,WinRate%,Net_E[R],ProfitFactor,NetPips,MaxDD%
EURUSD,Baseline,0.8,7.0,0.2,51,52.94,0.346,1.79,201.89,6.38
EURUSD,+25%,1.0,8.75,0.25,51,52.94,0.185,1.48,137.85,7.43
EURUSD,+50%,1.2,10.5,0.3,51,52.94,-0.027,1.16,53.31,9.64
EURUSD,+100%,1.6,14.0,0.4,51,50.98,-0.629,0.58,-186.41,29.71
GBPUSD,Baseline,1.2,7.0,0.2,40,55.0,0.403,1.77,187.41,3.17
GBPUSD,+25%,1.5,8.75,0.25,40,55.0,0.254,1.49,130.7,3.62
GBPUSD,+50%,1.8,10.5,0.3,40,55.0,0.061,1.19,57.93,5.75
GBPUSD,+100%,2.4,14.0,0.4,40,50.0,-0.485,0.64,-146.19,18.29
USDJPY,Baseline,0.9,7.0,0.2,38,26.32,-0.333,0.4,-332.84,12.83
USDJPY,+25%,1.12,8.75,0.25,38,26.32,-0.426,0.36,-379.45,15.67
USDJPY,+50%,1.35,10.5,0.3,38,26.32,-0.545,0.31,-439.63,19.18
USDJPY,+100%,1.8,14.0,0.4,38,26.32,-0.876,0.2,-608.74,28.2
