Pair,ADX_Lower,ADX_Upper,Lookback_Lag,Is_Frozen_Point,Trades,WinRate%,Net_E[R],ProfitFactor,NetPips,MaxDD%
EURUSD,16.0,21.0,8,False,26,46.15,0.171,1.49,69.41,3.55
EURUSD,16.0,21.0,10,False,34,58.82,0.52,2.28,189.69,3.77
EURUSD,16.0,21.0,12,False,40,45.0,0.105,1.21,51.52,6.39
EURUSD,16.0,22.0,8,False,25,48.0,0.227,1.61,79.95,3.42
EURUSD,16.0,22.0,10,False,32,62.5,0.635,2.58,206.74,3.77
EURUSD,16.0,22.0,12,False,38,47.37,0.181,1.31,68.57,6.39
EURUSD,16.0,24.0,8,False,22,54.55,0.388,1.85,97.48,3.42
EURUSD,16.0,24.0,10,False,27,59.26,0.54,2.23,152.66,3.77
EURUSD,16.0,24.0,12,False,33,45.45,0.126,1.18,36.68,6.39
EURUSD,18.0,21.0,8,False,45,48.89,0.228,1.54,122.25,5.66
EURUSD,18.0,21.0,10,False,53,50.94,0.282,1.68,184.84,6.38
EURUSD,18.0,21.0,12,False,59,52.54,0.305,1.64,186.93,6.38
EURUSD,18.0,22.0,8,False,43,51.16,0.301,1.66,139.29,4.5
EURUSD,18.0,22.0,10,True,51,52.94,0.346,1.79,201.89,6.38
EURUSD,18.0,22.0,12,False,57,54.39,0.362,1.74,203.98,6.38
EURUSD,18.0,24.0,8,False,36,52.78,0.334,1.69,126.58,4.5
EURUSD,18.0,24.0,10,False,44,50.0,0.258,1.59,140.75,6.38
EURUSD,18.0,24.0,12,False,48,50.0,0.255,1.48,125.6,6.38
EURUSD,20.0,21.0,8,False,65,47.69,0.195,1.48,168.8,6.74
EURUSD,20.0,21.0,10,False,73,47.95,0.187,1.37,148.45,8.48
EURUSD,20.0,21.0,12,False,82,47.56,0.154,1.33,150.39,8.07
EURUSD,20.0,22.0,8,False,62,50.0,0.268,1.6,194.13,6.74
EURUSD,20.0,22.0,10,False,69,50.72,0.273,1.51,185.89,8.48
EURUSD,20.0,22.0,12,False,78,50.0,0.228,1.45,187.82,7.53
EURUSD,20.0,24.0,8,False,51,47.06,0.171,1.43,129.44,5.65
EURUSD,20.0,24.0,10,False,59,47.46,0.179,1.33,111.89,7.71
