Pair,Year,Sample_Hierarchy,Trades,WinRate%,Gross_E[R],Net_E[R],ProfitFactor,Net_R,MaxDD%,AvgWinner_R,AvgLoser_R,NetPips,Status
EURUSD,2018,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
EURUSD,2019,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
EURUSD,2020,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
EURUSD,2021,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
EURUSD,2022,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
EURUSD,2023,DEV_VAL,13,53.85,0.616,0.413,1.51,5.37,2.43,1.79,-1.19,44.1,ACTIVE
EURUSD,2024,DEV_VAL,14,50.0,0.502,0.21,1.28,2.94,2.91,1.72,-1.3,18.95,ACTIVE
EURUSD,2025,DEV_VAL,15,66.67,1.003,0.775,3.92,11.62,2.66,1.8,-1.28,139.29,ACTIVE
EURUSD,2026,FINAL_UNTOUCHED_OOS,9,33.33,-0.004,-0.256,0.99,-2.3,2.58,1.81,-1.29,-0.45,ACTIVE
GBPUSD,2018,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
GBPUSD,2019,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
GBPUSD,2020,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
GBPUSD,2021,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
GBPUSD,2022,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
GBPUSD,2023,DEV_VAL,11,45.45,0.351,0.086,1.02,0.94,2.73,1.74,-1.29,2.29,ACTIVE
GBPUSD,2024,DEV_VAL,11,63.64,0.915,0.599,3.01,6.59,2.64,1.71,-1.34,86.38,ACTIVE
GBPUSD,2025,DEV_VAL,8,37.5,0.121,-0.155,0.86,-1.24,3.33,1.74,-1.29,-10.3,ACTIVE
GBPUSD,2026,FINAL_UNTOUCHED_OOS,10,70.0,1.099,0.818,3.52,8.18,1.36,1.72,-1.29,93.04,ACTIVE
USDJPY,2018,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
USDJPY,2019,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
USDJPY,2020,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
USDJPY,2021,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
USDJPY,2022,EXTENDED_VALIDATION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_DATA_OR_TRADES
USDJPY,2023,DEV_VAL,14,28.57,-0.138,-0.287,0.32,-4.02,6.93,1.8,-1.12,-156.75,ACTIVE
USDJPY,2024,DEV_VAL,12,33.33,-0.004,-0.202,0.51,-2.42,3.18,1.77,-1.19,-74.37,ACTIVE
USDJPY,2025,DEV_VAL,9,22.22,-0.186,-0.363,0.61,-3.27,4.62,1.85,-1.0,-43.43,ACTIVE
USDJPY,2026,FINAL_UNTOUCHED_OOS,3,0.0,-1.012,-1.177,0.0,-3.53,2.43,0.0,-1.18,-65.9,ACTIVE
