trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata,trend_transition
5,GBPUSD,TF_PB,-1,2023-01-27 15:45:00+00:00,2023-01-27 16:00:00+00:00,1.23672,2023-01-27 16:45:00+00:00,1.2387510714285714,SL,1.2386510714285714,1.2331578571428572,4,18.310714285714337,-18.31071428571418,1.2,0.8,0.7,-21.01071428571396,-1.1474546517804964,WEAK_BEAR__LOW_VOL,NY_LATE,2023,{'atr': 0.0012207142857142892},RANGE_TO_TREND
14,GBPUSD,TF_PB,1,2023-02-09 07:45:00+00:00,2023-02-09 08:00:00+00:00,1.20893,2023-02-09 09:00:00+00:00,1.2102242857142858,TP,1.2080678571428571,1.2103242857142857,5,7.521428571428601,14.942857142856703,1.2,0.8,0.7,12.242857142856924,1.6277302941805132,STRONG_BULL__CONTRACTION,LONDON,2023,{'atr': 0.0005014285714285733},RANGE_TO_TREND
39,GBPUSD,TF_PB,1,2023-03-23 14:00:00+00:00,2023-03-23 14:15:00+00:00,1.23183,2023-03-23 14:30:00+00:00,1.2293275000000001,SL,1.2294275000000001,1.236335,2,23.02499999999977,-23.02499999999874,1.2,0.8,0.7,-25.72499999999852,-1.1172638435996314,WEAK_BULL__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0015349999999999847},RANGE_TO_TREND
79,GBPUSD,TF_PB,1,2023-06-14 10:15:00+00:00,2023-06-14 10:30:00+00:00,1.26133,2023-06-14 11:45:00+00:00,1.2633492857142856,TP,1.260135357142857,1.2634492857142856,6,11.046428571428853,22.19285714285535,1.2,0.8,0.7,19.49285714285557,1.764629809086752,WEAK_BULL__LOW_VOL,LONDON,2023,{'atr': 0.0007364285714285902},RANGE_TO_TREND
84,GBPUSD,TF_PB,1,2023-07-04 10:30:00+00:00,2023-07-04 10:45:00+00:00,1.26954,2023-07-04 14:15:00+00:00,1.2717192857142858,TP,1.2682353571428573,1.2718192857142858,15,11.946428571428562,23.79285714285917,1.2,0.8,0.7,21.09285714285939,1.7656203287014232,STRONG_BULL__NORMAL_VOL,LONDON,2023,{'atr': 0.000796428571428571},RANGE_TO_TREND
86,GBPUSD,TF_PB,1,2023-07-07 15:15:00+00:00,2023-07-07 15:30:00+00:00,1.27939,2023-07-07 15:30:00+00:00,1.2773285714285714,SL,1.2774285714285714,1.282532857142857,1,17.014285714285123,-18.614285714286805,1.2,0.8,0.7,-21.314285714286584,-1.2527287992547622,STRONG_BULL__NORMAL_VOL,OVERLAP,2023,{'atr': 0.001134285714285675},RANGE_TO_TREND
124,GBPUSD,TF_PB,-1,2023-09-25 09:15:00+00:00,2023-09-25 09:30:00+00:00,1.22358,2023-09-25 09:45:00+00:00,1.2243296428571426,SL,1.2242296428571426,1.2225807142857144,2,5.49642857142818,-5.496428571427625,1.2,0.8,0.7,-8.196428571427404,-1.4912280699040237,STRONG_BEAR__CONTRACTION,LONDON,2023,{'atr': 0.00036642857142854535},RANGE_TO_TREND
150,GBPUSD,TF_PB,1,2023-11-14 11:00:00+00:00,2023-11-14 11:15:00+00:00,1.22881,2023-11-14 15:30:00+00:00,1.230835,TP,1.2275375,1.230935,18,11.325000000000204,22.249999999999215,1.2,0.8,0.7,19.549999999999436,1.7262693155207784,STRONG_BULL__NORMAL_VOL,LONDON,2023,{'atr': 0.0007550000000000136},RANGE_TO_TREND
156,GBPUSD,TF_PB,1,2023-11-27 10:00:00+00:00,2023-11-27 10:15:00+00:00,1.26207,2023-11-27 10:30:00+00:00,1.2608467857142858,SL,1.2609467857142858,1.2640164285714286,2,10.232142857142561,-10.2321428571428,1.2,0.8,0.7,-12.93214285714258,-1.2638743454262278,STRONG_BULL__NORMAL_VOL,LONDON,2023,{'atr': 0.0006821428571428376},RANGE_TO_TREND
172,GBPUSD,TF_PB,-1,2023-12-18 14:45:00+00:00,2023-12-18 15:00:00+00:00,1.26575,2023-12-18 19:00:00+00:00,1.262947857142857,TP,1.2673510714285714,1.262847857142857,17,15.01071428571461,30.02142857142953,1.2,0.8,0.7,27.321428571429752,1.8201284795361716,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0010007142857143072},RANGE_TO_TREND
