trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata,trend_transition
12,USDJPY,TF_PB,1,2023-01-31 14:45:00+00:00,2023-01-31 15:00:00+00:00,130.4385,2023-01-31 15:30:00+00:00,130.27885714285716,SL,130.28635714285716,130.72028571428572,3,14.46428571428535,-14.464285714285552,0.9,0.6,0.7,-16.664285714284187,-1.1520987653523709,STRONG_BULL__LOW_VOL,OVERLAP,2023,{'atr': 0.09642857142856899},RANGE_TO_TREND
27,USDJPY,TF_PB,1,2023-02-23 15:15:00+00:00,2023-02-23 15:30:00+00:00,135.0205,2023-02-23 15:30:00+00:00,135.24800000000002,TP,134.90225,135.2555,1,11.774999999999583,24.250000000000682,0.9,0.6,0.7,22.050000000002047,1.8726114648093601,STRONG_BULL__LOW_VOL,OVERLAP,2023,{'atr': 0.07849999999999722},RANGE_TO_TREND
28,USDJPY,TF_PB,1,2023-02-27 08:30:00+00:00,2023-02-27 08:45:00+00:00,136.42249999999999,2023-02-27 09:00:00+00:00,136.24639285714287,SL,136.25389285714286,136.7312142857143,2,15.910714285714128,-16.110714285713357,0.9,0.6,0.7,-18.310714285711992,-1.1508417507692867,STRONG_BULL__NORMAL_VOL,LONDON,2023,{'atr': 0.10607142857142751},RANGE_TO_TREND
35,USDJPY,TF_PB,-1,2023-03-13 07:00:00+00:00,2023-03-13 07:15:00+00:00,134.0165,2023-03-13 07:45:00+00:00,134.396,SL,134.3885,133.295,3,36.45000000000047,-36.44999999999925,0.9,0.6,0.7,-38.64999999999789,-1.0603566529200832,STRONG_BEAR__NORMAL_VOL,LONDON,2023,{'atr': 0.24300000000000313},RANGE_TO_TREND
38,USDJPY,TF_PB,-1,2023-03-16 15:15:00+00:00,2023-03-16 15:30:00+00:00,132.0475,2023-03-16 16:00:00+00:00,132.44646428571428,SL,132.4389642857143,131.2750714285714,3,38.79642857142929,-38.39642857142849,0.9,0.6,0.7,-40.596428571427126,-1.0463960231709837,WEAK_BEAR__NORMAL_VOL,OVERLAP,2023,{'atr': 0.2586428571428619},RANGE_TO_TREND
47,USDJPY,TF_PB,1,2023-04-04 15:45:00+00:00,2023-04-04 16:00:00+00:00,132.9115,2023-04-04 16:30:00+00:00,132.6935357142857,SL,132.7010357142857,133.30692857142856,3,20.196428571428783,-20.29642857143017,0.9,0.6,0.7,-22.496428571428805,-1.11388152072292,STRONG_BULL__LOW_VOL,NY_LATE,2023,{'atr': 0.13464285714285854},RANGE_TO_TREND
53,USDJPY,TF_PB,-1,2023-04-13 12:00:00+00:00,2023-04-13 12:15:00+00:00,133.11950000000002,2023-04-13 13:30:00+00:00,133.28160714285715,SL,133.27410714285716,132.8327857142857,6,14.710714285714488,-14.710714285715198,0.9,0.6,0.7,-16.910714285713834,-1.1495508617814842,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,{'atr': 0.09807142857142992},RANGE_TO_TREND
78,USDJPY,TF_PB,1,2023-06-05 11:45:00+00:00,2023-06-05 12:00:00+00:00,140.27249999999998,2023-06-05 16:00:00+00:00,140.10642857142858,SL,140.11392857142857,140.56714285714284,17,15.107142857142211,-15.107142857141298,0.9,0.6,0.7,-17.307142857139933,-1.1456264774653933,STRONG_BULL__NORMAL_VOL,OVERLAP,2023,{'atr': 0.10071428571428141},RANGE_TO_TREND
89,USDJPY,TF_PB,1,2023-06-27 10:00:00+00:00,2023-06-27 10:15:00+00:00,143.4955,2023-06-27 11:15:00+00:00,143.70992857142858,TP,143.3747857142857,143.71742857142857,5,11.421428571428597,22.942857142857065,0.9,0.6,0.7,20.74285714285843,1.8161350842688646,STRONG_BULL__LOW_VOL,LONDON,2023,{'atr': 0.07614285714285732},RANGE_TO_TREND
98,USDJPY,TF_PB,-1,2023-07-13 09:30:00+00:00,2023-07-13 09:45:00+00:00,138.4745,2023-07-13 15:30:00+00:00,138.668,SL,138.6605,138.125,24,17.850000000000577,-17.850000000001387,0.9,0.6,0.7,-20.050000000000022,-1.1232492996569257,WEAK_BEAR__NORMAL_VOL,LONDON,2023,{'atr': 0.11900000000000384},RANGE_TO_TREND
