Pair,ADX_Lower,ADX_Upper,Lookback_Lag,Is_Frozen_Candidate,Trades,WinRate%,Gross_E[R],Net_E[R],ProfitFactor,NetPips,MaxDD%
EURUSD,16.0,21.0,8,False,27,48.15,0.408,0.182,1.4,67.01,6.04
EURUSD,16.0,21.0,10,False,40,55.0,0.65,0.43,1.78,164.11,4.34
EURUSD,16.0,21.0,12,False,53,41.51,0.24,0.017,0.91,-32.37,8.85
EURUSD,16.0,22.0,8,False,26,50.0,0.462,0.236,1.49,77.55,5.41
EURUSD,16.0,22.0,10,False,39,56.41,0.692,0.472,1.88,174.65,3.7
EURUSD,16.0,22.0,12,False,51,43.14,0.289,0.065,0.98,-8.8,6.62
EURUSD,16.0,24.0,8,False,24,54.17,0.582,0.354,1.75,100.36,4.29
EURUSD,16.0,24.0,10,False,33,54.55,0.635,0.414,1.78,136.33,3.7
EURUSD,16.0,24.0,12,False,45,42.22,0.26,0.035,0.92,-24.94,7.71
EURUSD,18.0,21.0,8,False,41,51.22,0.499,0.273,1.6,139.85,7.56
EURUSD,18.0,21.0,10,False,65,47.69,0.416,0.194,1.31,125.86,6.66
EURUSD,18.0,21.0,12,False,69,46.38,0.388,0.162,1.17,76.64,7.04
EURUSD,18.0,22.0,8,False,40,52.5,0.536,0.311,1.68,150.39,6.42
EURUSD,18.0,22.0,10,True,63,49.21,0.461,0.238,1.39,149.43,5.5
EURUSD,18.0,22.0,12,False,67,47.76,0.429,0.203,1.24,100.21,5.89
EURUSD,18.0,24.0,8,False,35,54.29,0.583,0.356,1.78,149.76,5.31
EURUSD,18.0,24.0,10,False,55,47.27,0.4,0.177,1.3,104.05,5.82
EURUSD,18.0,24.0,12,False,58,44.83,0.34,0.113,1.11,40.89,5.91
EURUSD,20.0,21.0,8,False,53,49.06,0.456,0.225,1.53,155.76,4.69
EURUSD,20.0,21.0,10,False,73,47.95,0.426,0.204,1.29,131.74,6.63
EURUSD,20.0,21.0,12,False,72,47.22,0.404,0.181,1.22,99.14,6.63
EURUSD,20.0,22.0,8,False,52,50.0,0.484,0.253,1.58,166.3,4.28
EURUSD,20.0,22.0,10,False,71,49.3,0.466,0.244,1.36,155.31,5.48
EURUSD,20.0,22.0,12,False,70,48.57,0.444,0.221,1.28,122.71,5.48
EURUSD,20.0,24.0,8,False,45,48.89,0.447,0.215,1.54,137.09,4.28
EURUSD,20.0,24.0,10,False,62,46.77,0.388,0.166,1.24,95.99,6.97
EURUSD,20.0,24.0,12,False,61,45.9,0.362,0.138,1.16,63.39,6.97
GBPUSD,16.0,21.0,8,False,21,52.38,0.649,0.423,1.93,126.29,3.59
GBPUSD,16.0,21.0,10,False,39,56.41,0.723,0.5,2.15,271.84,4.01
GBPUSD,16.0,21.0,12,False,45,48.89,0.504,0.249,1.93,266.81,9.07
GBPUSD,16.0,22.0,8,False,21,52.38,0.649,0.423,1.93,126.29,3.59
GBPUSD,16.0,22.0,10,False,39,56.41,0.723,0.5,2.15,271.84,4.01
GBPUSD,16.0,22.0,12,False,45,48.89,0.504,0.249,1.93,266.81,9.07
GBPUSD,16.0,24.0,8,False,21,52.38,0.649,0.423,1.93,126.29,3.59
GBPUSD,16.0,24.0,10,False,39,56.41,0.723,0.5,2.15,271.84,4.01
GBPUSD,16.0,24.0,12,False,45,48.89,0.504,0.249,1.93,266.81,9.07
