start_index,start_date,is_passed,is_breached,trades_to_pass,days_to_target,max_drawdown_pct,worst_losing_streak,ending_equity_pct
0,2023-01-20,True,False,44,302.5,1.72,3,8.29
1,2023-01-27,True,False,49,336.9,1.72,3,8.1
2,2023-02-07,True,False,46,316.2,1.72,3,8.41
3,2023-02-09,True,False,51,350.6,1.72,3,8.31
4,2023-02-27,True,False,51,350.6,1.72,3,8.42
5,2023-03-16,True,False,53,364.4,1.72,3,8.82
6,2023-03-23,True,False,49,336.9,1.72,2,8.09
7,2023-05-01,True,False,48,330.0,1.72,2,8.7
8,2023-05-23,True,False,44,302.5,1.72,2,8.05
9,2023-06-14,True,False,46,316.2,1.72,2,8.35
10,2023-06-22,True,False,48,330.0,1.72,2,8.71
11,2023-06-26,True,False,48,330.0,1.72,2,8.76
12,2023-07-04,True,False,46,316.2,1.72,2,8.4
13,2023-07-04,True,False,46,316.2,1.72,2,8.45
14,2023-07-07,True,False,44,302.5,1.72,2,8.12
15,2023-08-30,True,False,43,295.6,1.72,2,8.8
16,2023-09-25,True,False,43,295.6,1.72,2,8.81
17,2023-10-06,True,False,41,281.9,1.72,2,8.61
18,2023-10-11,True,False,41,281.9,1.72,2,8.7
19,2023-11-14,True,False,39,268.1,1.72,2,8.31
20,2023-11-27,True,False,39,268.1,1.72,2,8.38
21,2023-12-08,True,False,37,254.4,1.4,2,8.07
22,2023-12-18,True,False,36,247.5,1.4,2,8.79
23,2023-12-27,True,False,36,247.5,1.4,2,8.81
24,2024-02-02,True,False,34,233.8,1.4,2,8.61
25,2024-02-05,True,False,32,220.0,1.4,2,8.27
26,2024-02-14,True,False,32,220.0,1.4,2,8.3
27,2024-03-04,True,False,32,220.0,1.4,2,8.38
28,2024-03-07,True,False,30,206.2,1.4,2,8.14
29,2024-03-13,True,False,30,206.2,1.4,2,8.21
30,2024-04-04,True,False,29,199.4,1.4,2,8.91
31,2024-04-10,True,False,27,185.6,1.4,2,8.66
32,2024-04-18,True,False,27,185.6,1.4,2,8.93
33,2024-05-14,True,False,26,178.8,1.4,2,8.05
34,2024-06-07,True,False,28,192.5,1.4,2,8.25
35,2024-06-17,True,False,25,171.9,1.31,2,8.81
36,2024-07-08,True,False,23,158.1,1.31,2,8.59
37,2024-09-05,True,False,23,158.1,1.31,2,8.6
38,2024-09-05,True,False,21,144.4,1.31,2,8.44
39,2024-09-05,True,False,21,144.4,1.31,2,8.49
40,2024-09-06,True,False,26,178.8,1.33,2,8.31
41,2024-10-01,True,False,19,130.6,1.31,2,8.13
42,2024-10-01,True,False,28,192.5,1.37,2,8.37
43,2024-10-09,True,False,40,275.0,3.01,4,8.18
44,2024-10-16,True,False,40,275.0,3.01,4,8.21
45,2024-10-25,True,False,38,261.2,3.01,4,8.01
46,2024-10-31,True,False,37,254.4,3.01,4,8.67
47,2024-12-05,True,False,37,254.4,3.01,4,8.68
48,2024-12-06,True,False,39,268.1,3.01,4,8.89
49,2025-01-09,True,False,35,240.6,3.01,4,8.41
50,2025-01-14,True,False,37,254.4,3.01,4,8.57
51,2025-02-05,True,False,33,226.9,3.01,4,8.08
52,2025-02-18,True,False,35,240.6,3.01,4,8.29
53,2025-03-04,True,False,33,226.9,3.01,4,8.02
54,2025-03-13,False,False,37,,3.01,4,6.77
55,2025-04-15,False,False,36,,3.01,4,5.8
56,2025-04-18,False,False,35,,3.01,4,6.44
57,2025-05-12,False,False,34,,3.01,4,5.49
58,2025-06-23,False,False,33,,3.01,4,4.53
59,2025-07-01,False,False,32,,3.01,4,3.57
60,2025-07-28,False,False,31,,3.01,4,2.69
61,2025-07-29,False,False,30,,3.01,4,3.34
62,2025-08-06,False,False,29,,3.01,4,2.43
63,2025-08-19,False,False,28,,3.01,4,3.06
64,2025-09-08,False,False,27,,3.01,4,3.81
65,2025-09-19,False,False,26,,3.01,4,2.88
66,2025-10-07,False,False,25,,3.01,4,1.93
67,2025-12-12,False,False,24,,3.01,4,2.65
68,2025-12-16,False,False,23,,3.01,4,3.35
69,2025-12-16,False,False,22,,3.01,4,2.49
70,2025-12-18,False,False,21,,3.01,4,1.55
71,2025-12-19,False,False,20,,2.52,4,2.28
72,2026-01-09,False,False,19,,2.52,4,2.92
73,2026-01-09,False,False,18,,2.52,4,2.06
74,2026-01-13,False,False,17,,1.89,3,2.72
75,2026-01-21,False,False,16,,1.89,3,3.37
