policy_name,base_risk_pct,prob_pass_eventual_pct,prob_pass_30d_pct,prob_pass_60d_pct,prob_pass_90d_pct,prob_pass_120d_pct,prob_pass_180d_pct,prob_pass_365d_pct,median_days_to_pass,pct75_days_to_pass,pct90_days_to_pass,pct95_days_to_pass,prob_daily_loss_breach_pct,prob_max_dd_breach_pct,expected_max_drawdown_pct,prob_survive_30d_pct,prob_survive_60d_pct,prob_survive_90d_pct,prob_survive_180d_pct,prob_survive_365d_pct,expected_monthly_return_pct,max_observed_losing_streak,recommendation_score
POLICY_A_CONSTANT,0.1,72.2,0.0,0.0,0.0,0.0,0.0,0.0,1313.1,1498.8,1622.5,1670.6,0.0,0.0,1.08,100.0,100.0,100.0,100.0,100.0,0.11,18,20.04
POLICY_A_CONSTANT,0.2,99.0,0.0,0.0,0.0,0.0,0.0,4.5,708.1,921.2,1155.0,1320.0,0.0,0.0,1.75,100.0,100.0,100.0,100.0,100.0,0.22,16,27.07
POLICY_A_CONSTANT,0.25,99.5,0.0,0.0,0.0,0.0,0.1,16.7,563.8,756.2,976.2,1141.2,0.0,0.0,2.04,100.0,100.0,100.0,100.0,100.0,0.27,17,26.84
POLICY_A_CONSTANT,0.35,99.8,0.0,0.0,0.1,0.5,5.8,45.7,391.9,555.2,756.2,901.7,0.0,0.0,2.51,100.0,100.0,100.0,100.0,100.0,0.37,17,28.51
POLICY_A_CONSTANT,0.5,99.2,0.0,0.0,2.5,7.5,26.3,70.6,268.1,398.8,556.9,687.5,0.0,0.0,3.09,100.0,100.0,100.0,100.0,100.0,0.52,14,35.62
POLICY_A_CONSTANT,0.6,98.1,0.0,0.8,8.9,16.4,37.9,78.4,213.1,330.0,474.4,584.4,0.0,0.0,3.44,100.0,100.0,100.0,100.0,100.0,0.63,14,39.42
POLICY_A_CONSTANT,0.75,96.2,0.0,5.7,20.4,31.4,53.7,84.9,165.0,261.2,391.9,488.1,0.0,0.2,3.81,100.0,100.0,100.0,99.9,99.8,0.78,11,44.15
POLICY_A_CONSTANT,1.0,91.5,0.0,18.1,35.3,50.1,68.3,88.2,116.9,185.6,275.0,336.9,0.0,0.6,4.32,100.0,100.0,99.9,99.6,99.5,1.09,9,47.13
POLICY_B_DRAWDOWN_DERISKING,0.5,99.5,0.0,0.0,2.6,7.8,25.9,65.8,275.0,446.9,694.4,900.6,0.0,0.0,2.9,100.0,100.0,100.0,100.0,100.0,0.53,16,35.85
POLICY_B_DRAWDOWN_DERISKING,0.75,99.5,0.0,6.1,20.0,30.4,49.9,75.8,178.8,350.6,646.2,866.2,0.0,0.0,3.47,100.0,100.0,100.0,100.0,100.0,0.79,15,44.6
POLICY_C_TARGET_PROTECTION,0.5,99.4,0.0,0.0,0.4,2.4,15.7,63.5,302.5,440.0,605.0,728.8,0.0,0.0,2.99,100.0,100.0,100.0,100.0,100.0,0.52,13,31.59
POLICY_C_TARGET_PROTECTION,0.75,96.4,0.0,0.4,7.9,18.1,42.8,82.1,199.4,295.6,419.4,501.9,0.0,0.2,3.66,100.0,100.0,100.0,99.9,99.8,0.82,12,40.16
POLICY_D_DRAWDOWN_BUDGET,0.5,99.8,0.0,0.0,2.7,7.8,26.5,68.8,268.1,412.5,598.1,749.7,0.0,0.0,3.08,100.0,100.0,100.0,100.0,100.0,0.54,15,35.93
POLICY_D_DRAWDOWN_BUDGET,0.75,99.8,0.0,5.8,19.1,30.9,50.2,79.8,178.8,316.2,536.2,728.8,0.0,0.0,3.5,100.0,100.0,100.0,100.0,100.0,0.79,16,44.76
POLICY_E_CHALLENGE_AWARE,0.5,99.6,0.0,0.0,0.4,2.4,16.2,60.4,309.4,467.5,721.9,928.1,0.0,0.0,2.81,100.0,100.0,100.0,100.0,100.0,0.5,16,32.12
POLICY_E_CHALLENGE_AWARE,0.75,99.5,0.0,0.5,7.7,17.0,38.1,73.2,226.9,378.1,653.1,859.4,0.0,0.0,3.29,100.0,100.0,100.0,100.0,100.0,0.76,15,40.15
