start_index,start_date,phase1_passed,both_phases_passed,is_breached,days_to_phase1,days_to_both_phases,trading_days_p1,trading_days_p2,max_drawdown_pct,ending_equity_usd
0,2023-01-20,True,True,False,720.0,973.0,46,16,2.6,105004.91
1,2023-01-27,True,True,False,766.0,965.0,49,12,2.64,105081.85
2,2023-02-07,True,True,False,755.0,954.0,48,12,2.61,105081.85
3,2023-02-09,True,True,False,727.0,1189.0,45,29,2.66,105159.04
4,2023-02-27,True,True,False,781.0,1171.0,49,24,2.7,105043.3
5,2023-03-16,True,False,False,829.0,,50,30,3.84,104415.63
6,2023-03-23,True,True,False,756.0,1146.0,47,24,2.71,105043.3
7,2023-05-01,True,True,False,672.0,872.0,43,12,2.68,105081.85
8,2023-05-23,True,True,False,659.0,938.0,43,14,2.65,105031.26
9,2023-06-14,True,True,False,637.0,916.0,42,14,2.7,105031.26
10,2023-06-22,True,False,False,732.0,,45,30,3.84,104415.63
11,2023-06-26,True,False,False,815.0,,51,23,3.92,101557.57
12,2023-07-04,True,False,False,727.0,,44,29,3.88,103912.56
13,2023-07-04,True,False,False,727.0,,44,29,3.88,103912.56
14,2023-07-07,True,False,False,724.0,,43,29,3.88,103912.56
15,2023-08-30,True,False,False,670.0,,42,29,3.88,103912.56
16,2023-09-25,True,False,False,637.0,,40,30,3.84,104415.63
17,2023-10-06,True,True,False,583.0,950.0,38,23,2.6,105053.55
18,2023-10-11,True,False,False,656.0,,41,27,3.89,103517.63
19,2023-11-14,True,False,False,587.0,,37,30,3.84,104415.63
20,2023-11-27,True,False,False,574.0,,36,30,3.84,104415.63
21,2023-12-08,True,False,False,563.0,,35,30,3.84,104415.63
22,2023-12-18,True,False,False,552.0,,34,30,3.84,104415.63
23,2023-12-27,True,False,False,552.0,,34,29,3.88,103912.56
24,2024-02-02,True,False,False,507.0,,32,30,3.84,104415.63
25,2024-02-05,True,False,False,503.0,,31,30,3.84,104415.63
26,2024-02-14,True,True,False,452.0,819.0,29,23,2.03,105053.55
27,2024-03-04,True,False,False,564.0,,36,23,3.92,101557.57
28,2024-03-07,True,False,False,472.0,,28,30,3.84,104415.63
29,2024-03-13,True,False,False,554.0,,34,23,3.92,101557.57
30,2024-04-04,True,False,False,445.0,,26,30,3.84,104415.63
31,2024-04-10,True,True,False,397.0,763.0,24,23,2.02,105053.55
32,2024-04-18,True,False,False,431.0,,24,30,3.84,104415.63
33,2024-05-14,True,False,False,581.0,,33,20,3.93,101108.23
34,2024-06-07,True,False,False,657.0,,41,11,2.09,104423.96
35,2024-06-17,True,False,False,459.0,,28,23,3.92,101557.57
36,2024-07-08,True,False,False,357.0,,21,29,3.88,103912.56
37,2024-09-05,True,False,False,299.0,,20,29,3.88,103912.56
38,2024-09-05,True,False,False,298.0,,20,29,3.88,103912.56
39,2024-09-05,True,False,False,298.0,,20,29,3.88,103912.56
40,2024-09-06,True,False,False,377.0,,25,23,3.92,101557.57
41,2024-10-01,True,False,False,441.0,,27,20,3.93,101108.23
42,2024-10-01,True,False,False,441.0,,27,20,3.93,101108.23
43,2024-10-09,True,False,False,344.0,,23,23,3.92,101557.57
44,2024-10-16,True,False,False,574.0,,37,8,2.68,101127.3
45,2024-10-25,True,False,False,417.0,,24,20,3.93,101108.23
46,2024-10-31,True,False,False,322.0,,20,23,3.92,101557.57
47,2024-12-05,True,False,False,524.0,,34,8,2.68,101127.3
48,2024-12-06,True,False,False,550.0,,37,4,2.85,98201.63
49,2025-01-09,True,False,False,488.0,,31,9,1.84,104637.49
50,2025-01-14,False,False,False,,,39,0,3.66,109545.29
51,2025-02-05,True,False,False,462.0,,30,8,2.68,101127.3
52,2025-02-18,False,False,False,,,37,0,3.67,109216.3
53,2025-03-04,True,False,False,462.0,,32,4,2.85,98201.63
54,2025-03-13,False,False,False,,,35,0,3.68,109642.63
55,2025-04-15,False,False,False,,,34,0,3.73,108455.67
56,2025-04-18,False,False,False,,,33,0,3.7,108536.3
57,2025-05-12,False,False,False,,,32,0,3.74,106641.0
58,2025-06-23,False,False,False,,,31,0,3.79,105251.69
59,2025-07-01,False,False,False,,,30,0,3.84,103845.69
60,2025-07-28,False,False,False,,,29,0,3.88,102547.79
61,2025-07-29,False,False,False,,,28,0,3.85,103510.08
62,2025-08-06,False,False,False,,,27,0,3.89,102164.88
63,2025-08-19,False,False,False,,,26,0,3.86,103220.81
64,2025-09-08,False,False,False,,,25,0,3.82,104324.07
65,2025-09-19,False,False,False,,,24,0,3.87,102958.56
66,2025-10-07,False,False,False,,,23,0,3.92,101557.57
67,2025-12-12,False,False,False,,,22,0,3.87,102752.34
68,2025-12-16,False,False,False,,,21,0,3.84,103769.07
69,2025-12-16,False,False,False,,,21,0,3.88,102510.59
70,2025-12-18,False,False,False,,,20,0,3.93,101108.23
71,2025-12-19,False,False,False,,,19,0,3.52,102473.36
72,2026-01-09,False,False,False,,,18,0,3.49,103415.96
73,2026-01-09,False,False,False,,,18,0,3.53,102145.66
74,2026-01-13,False,False,False,,,17,0,2.76,103704.58
75,2026-01-21,False,False,False,,,16,0,2.59,104783.09
76,2026-01-22,False,False,False,,,15,0,2.57,105828.07
77,2026-03-12,False,False,False,,,14,0,2.02,107475.6
78,2026-03-23,False,False,False,,,13,0,2.58,105497.96
79,2026-03-26,False,False,False,,,12,0,2.61,104163.62
80,2026-04-15,False,False,False,,,11,0,2.64,102805.84
