policy_name,base_risk_pct,prob_complete_both_phases_pct,prob_phase1_30d_pct,prob_phase1_60d_pct,prob_phase1_90d_pct,prob_phase1_180d_pct,prob_phase1_365d_pct,prob_both_phases_90d_pct,prob_both_phases_180d_pct,prob_both_phases_365d_pct,median_days_both_phases,pct75_days_both_phases,pct90_days_both_phases,pct95_days_both_phases,prob_daily_loss_breach_pct,prob_max_loss_breach_pct,expected_max_drawdown_pct,prob_funded_survive_30d_pct,prob_funded_survive_60d_pct,prob_funded_survive_90d_pct,prob_funded_survive_180d_pct,prob_funded_survive_365d_pct,expected_monthly_return_pct,recommendation_score
POLICY_A_CONSTANT,0.25,99.8,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,1100.0,1375.0,1677.5,1883.8,0.0,0.0,2.49,100.0,100.0,100.0,100.0,100.0,0.26,26.19
POLICY_A_CONSTANT,0.35,99.9,0.0,0.0,0.0,1.1,25.6,0.0,0.0,2.0,783.8,1010.6,1258.1,1450.6,0.0,0.0,3.14,100.0,100.0,100.0,100.0,100.0,0.38,25.27
POLICY_A_CONSTANT,0.5,98.4,0.0,0.0,0.4,11.9,56.9,0.0,0.4,19.1,536.2,728.8,948.8,1100.0,0.0,0.0,3.97,100.0,100.0,100.0,100.0,100.0,0.52,23.71
POLICY_A_CONSTANT,0.6,96.9,0.0,0.0,2.5,23.2,68.4,0.0,2.3,34.1,446.9,605.0,790.6,921.2,0.0,0.1,4.44,100.0,100.0,100.0,100.0,100.0,0.63,23.17
POLICY_A_CONSTANT,0.75,93.2,0.0,0.7,9.2,38.5,79.2,0.1,10.0,52.2,343.8,474.4,632.5,749.4,0.0,0.3,5.0,99.9,99.9,99.9,99.9,99.9,0.82,23.82
POLICY_A_CONSTANT,1.0,85.2,0.0,6.1,24.3,58.2,85.2,1.9,25.8,69.1,233.8,330.0,446.9,522.5,0.0,1.1,5.71,99.4,99.4,99.4,99.4,99.4,1.14,25.16
POLICY_B_DRAWDOWN_DERISKING,0.5,99.8,0.0,0.0,0.4,12.3,54.0,0.0,0.4,18.6,570.6,831.9,1182.5,1436.9,0.0,0.0,3.6,100.0,100.0,100.0,100.0,100.0,0.53,24.7
POLICY_B_DRAWDOWN_DERISKING,0.75,99.8,0.0,0.7,9.0,37.5,69.1,0.1,9.6,43.9,412.5,680.6,1072.5,1333.8,0.0,0.0,4.37,100.0,100.0,100.0,100.0,100.0,0.83,27.23
POLICY_C_TARGET_PROTECTION,0.5,98.7,0.0,0.0,0.0,5.9,48.8,0.0,0.0,8.4,611.9,811.2,1018.9,1175.6,0.0,0.0,3.84,100.0,100.0,100.0,100.0,100.0,0.52,23.82
POLICY_C_TARGET_PROTECTION,0.75,93.5,0.0,0.1,2.8,28.7,74.8,0.0,2.3,37.0,412.5,550.0,701.2,811.2,0.0,0.4,4.83,99.8,99.8,99.8,99.8,99.8,0.79,21.03
POLICY_E_CHALLENGE_AWARE,0.5,99.8,0.0,0.0,0.0,6.1,46.2,0.0,0.0,8.7,646.2,900.6,1237.5,1491.9,0.0,0.0,3.5,100.0,100.0,100.0,100.0,100.0,0.52,24.71
POLICY_E_CHALLENGE_AWARE,0.75,99.8,0.0,0.1,2.7,26.8,65.7,0.0,2.1,31.4,481.2,728.8,1058.8,1313.1,0.0,0.0,4.12,100.0,100.0,100.0,100.0,100.0,0.84,24.61
